GEO_ID,NAME,B25075_001E,B25075_001M,B25075_002E,B25075_002M,B25075_003E,B25075_003M,B25075_004E,B25075_004M,B25075_005E,B25075_005M,B25075_006E,B25075_006M,B25075_007E,B25075_007M,B25075_008E,B25075_008M,B25075_009E,B25075_009M,B25075_010E,B25075_010M,B25075_011E,B25075_011M,B25075_012E,B25075_012M,B25075_013E,B25075_013M,B25075_014E,B25075_014M,B25075_015E,B25075_015M,B25075_016E,B25075_016M,B25075_017E,B25075_017M,B25075_018E,B25075_018M,B25075_019E,B25075_019M,B25075_020E,B25075_020M,B25075_021E,B25075_021M,B25075_022E,B25075_022M,B25075_023E,B25075_023M,B25075_024E,B25075_024M,B25075_025E,B25075_025M,B25075_026E,B25075_026M,B25075_027E,B25075_027M
id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,"Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $49,999","Margin of Error!!Total!!$40,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $69,999","Margin of Error!!Total!!$60,000 to $69,999","Estimate!!Total!!$70,000 to $79,999","Margin of Error!!Total!!$70,000 to $79,999","Estimate!!Total!!$80,000 to $89,999","Margin of Error!!Total!!$80,000 to $89,999","Estimate!!Total!!$90,000 to $99,999","Margin of Error!!Total!!$90,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $174,999","Margin of Error!!Total!!$150,000 to $174,999","Estimate!!Total!!$175,000 to $199,999","Margin of Error!!Total!!$175,000 to $199,999","Estimate!!Total!!$200,000 to $249,999","Margin of Error!!Total!!$200,000 to $249,999","Estimate!!Total!!$250,000 to $299,999","Margin of Error!!Total!!$250,000 to $299,999","Estimate!!Total!!$300,000 to $399,999","Margin of Error!!Total!!$300,000 to $399,999","Estimate!!Total!!$400,000 to $499,999","Margin of Error!!Total!!$400,000 to $499,999","Estimate!!Total!!$500,000 to $749,999","Margin of Error!!Total!!$500,000 to $749,999","Estimate!!Total!!$750,000 to $999,999","Margin of Error!!Total!!$750,000 to $999,999","Estimate!!Total!!$1,000,000 to $1,499,999","Margin of Error!!Total!!$1,000,000 to $1,499,999","Estimate!!Total!!$1,500,000 to $1,999,999","Margin of Error!!Total!!$1,500,000 to $1,999,999","Estimate!!Total!!$2,000,000 or more","Margin of Error!!Total!!$2,000,000 or more"
1500000US370630018023,"Block Group 3, Census Tract 18.02, Durham County, North Carolina",347,110,22,32,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,19,12,20,60,65,0,12,69,81,159,75,14,23,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370630018024,"Block Group 4, Census Tract 18.02, Durham County, North Carolina",193,91,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,21,0,12,0,12,59,65,13,21,41,49,18,32,0,12,44,48,5,9,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370630018061,"Block Group 1, Census Tract 18.06, Durham County, North Carolina",607,156,0,12,0,12,0,12,25,43,0,12,77,42,19,34,0,12,0,12,0,12,10,17,45,37,24,42,104,73,99,60,55,57,10,15,8,17,25,38,72,71,26,34,8,15,0,12,0,12,0,12,0,12
1500000US370630018062,"Block Group 2, Census Tract 18.06, Durham County, North Carolina",1345,161,44,53,29,41,0,12,0,12,0,12,0,12,0,12,0,12,51,85,0,12,0,12,32,51,0,12,136,98,388,164,358,169,99,85,126,104,58,57,0,12,0,12,24,39,0,12,0,12,0,12,0,12
1500000US370630018071,"Block Group 1, Census Tract 18.07, Durham County, North Carolina",766,194,128,89,73,80,37,59,13,20,0,12,0,12,0,12,0,12,0,12,27,43,0,12,49,76,0,12,95,61,69,46,99,96,99,92,36,45,0,12,13,22,16,25,12,19,0,12,0,12,0,12,0,12
1500000US370630018072,"Block Group 2, Census Tract 18.07, Durham County, North Carolina",1147,194,53,61,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,17,11,19,0,12,21,26,172,127,347,128,195,106,148,98,50,55,39,43,101,95,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370630018073,"Block Group 3, Census Tract 18.07, Durham County, North Carolina",785,215,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,163,104,304,163,268,136,24,30,0,12,0,12,14,22,12,19,0,12,0,12,0,12,0,12,0,12
1500000US370630018081,"Block Group 1, Census Tract 18.08, Durham County, North Carolina",773,117,30,34,15,24,0,12,0,12,0,12,0,12,0,12,9,17,0,12,0,12,0,12,41,65,0,12,43,58,26,29,145,68,136,73,246,116,50,51,32,36,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370630018082,"Block Group 2, Census Tract 18.08, Durham County, North Carolina",2239,172,10,17,0,17,11,18,14,22,0,17,0,17,0,17,14,23,0,17,0,17,13,22,0,17,0,17,33,37,78,68,93,74,200,103,661,198,468,154,490,136,144,79,10,16,0,17,0,17,0,17,0,17
1500000US370630018091,"Block Group 1, Census Tract 18.09, Durham County, North Carolina",406,112,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,29,0,12,0,12,0,12,0,12,0,12,58,61,114,75,84,53,52,45,38,42,31,38,11,18,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370630018092,"Block Group 2, Census Tract 18.09, Durham County, North Carolina",634,109,19,29,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,34,38,129,70,248,102,114,87,90,95,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370630019001,"Block Group 1, Census Tract 19, Durham County, North Carolina",424,70,0,12,0,12,0,12,16,23,0,12,0,12,10,15,0,12,0,12,0,12,0,12,0,12,9,14,0,12,16,25,27,26,47,35,14,19,51,39,147,64,72,44,15,18,0,12,0,12,0,12,0,12
1500000US370630019002,"Block Group 2, Census Tract 19, Durham County, North Carolina",1029,111,0,12,9,14,0,12,0,12,0,12,0,12,0,12,0,12,7,11,0,12,0,12,0,12,17,24,7,11,32,30,194,72,190,73,332,98,54,43,69,37,77,46,17,24,17,19,7,11,0,12,0,12
1500000US370630020071,"Block Group 1, Census Tract 20.07, Durham County, North Carolina",811,150,26,43,0,12,12,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,16,25,48,74,36,33,89,80,53,45,147,70,123,71,199,102,62,84,0,12,0,12,0,12,0,12,0,12
1500000US370630020072,"Block Group 2, Census Tract 20.07, Durham County, North Carolina",660,112,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,21,33,0,12,54,42,113,109,47,43,33,38,137,90,112,76,47,47,15,23,40,34,14,22,27,27,0,12,0,12
1500000US370630020073,"Block Group 3, Census Tract 20.07, Durham County, North Carolina",295,83,26,38,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,32,40,46,56,51,62,37,34,7,14,39,45,43,39,0,12,14,22,0,12,0,12,0,12,0,12
1500000US370630020081,"Block Group 1, Census Tract 20.08, Durham County, North Carolina",341,52,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,12,19,0,12,0,12,35,27,20,22,32,30,56,35,60,35,41,26,46,39,39,32
1500000US370630020082,"Block Group 2, Census Tract 20.08, Durham County, North Carolina",828,76,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,12,18,9,15,13,20,109,48,124,55,191,74,56,35,193,59,81,45,20,24,8,13,12,18
1500000US370630020091,"Block Group 1, Census Tract 20.09, Durham County, North Carolina",398,76,9,14,0,12,0,12,0,12,0,12,0,12,0,12,19,30,30,36,31,28,0,12,58,41,10,16,75,50,95,44,26,29,0,12,45,39,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370630020092,"Block Group 2, Census Tract 20.09, Durham County, North Carolina",383,98,0,12,0,12,50,59,0,12,0,12,0,12,0,12,17,28,0,12,15,24,11,16,30,37,24,28,110,53,18,22,25,24,18,28,27,26,23,36,0,12,15,24,0,12,0,12,0,12,0,12,0,12
1500000US370630020093,"Block Group 3, Census Tract 20.09, Durham County, North Carolina",425,105,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,15,17,29,54,51,105,69,57,45,57,45,67,43,19,23,8,14,21,24,10,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370630020131,"Block Group 1, Census Tract 20.13, Durham County, North Carolina",496,75,0,12,9,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,120,46,67,37,77,41,55,45,67,65,72,48,29,26,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370630020132,"Block Group 2, Census Tract 20.13, Durham County, North Carolina",252,59,0,12,5,10,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,16,27,24,84,38,65,37,27,16,9,14,17,19,0,12,0,12,8,14,0,12,0,12,0,12,0,12
1500000US370630020133,"Block Group 3, Census Tract 20.13, Durham County, North Carolina",743,106,11,16,15,22,0,12,0,12,0,12,0,12,0,12,0,12,9,14,8,14,0,12,0,12,0,12,6,11,116,76,146,61,54,40,257,62,111,63,10,15,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370630020151,"Block Group 1, Census Tract 20.15, Durham County, North Carolina",304,84,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,40,59,0,12,0,12,0,12,89,71,86,65,57,49,32,33,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370630020152,"Block Group 2, Census Tract 20.15, Durham County, North Carolina",132,62,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,19,42,67,22,27,9,18,0,12,9,16,39,25,0,12,0,12,0,12,0,12,0,12
