"GEO_ID","NAME","B25075_001E","B25075_001M","B25075_002E","B25075_002M","B25075_003E","B25075_003M","B25075_004E","B25075_004M","B25075_005E","B25075_005M","B25075_006E","B25075_006M","B25075_007E","B25075_007M","B25075_008E","B25075_008M","B25075_009E","B25075_009M","B25075_010E","B25075_010M","B25075_011E","B25075_011M","B25075_012E","B25075_012M","B25075_013E","B25075_013M","B25075_014E","B25075_014M","B25075_015E","B25075_015M","B25075_016E","B25075_016M","B25075_017E","B25075_017M","B25075_018E","B25075_018M","B25075_019E","B25075_019M","B25075_020E","B25075_020M","B25075_021E","B25075_021M","B25075_022E","B25075_022M","B25075_023E","B25075_023M","B25075_024E","B25075_024M","B25075_025E","B25075_025M","B25075_026E","B25075_026M","B25075_027E","B25075_027M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $49,999","Margin of Error!!Total:!!$40,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $69,999","Margin of Error!!Total:!!$60,000 to $69,999","Estimate!!Total:!!$70,000 to $79,999","Margin of Error!!Total:!!$70,000 to $79,999","Estimate!!Total:!!$80,000 to $89,999","Margin of Error!!Total:!!$80,000 to $89,999","Estimate!!Total:!!$90,000 to $99,999","Margin of Error!!Total:!!$90,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $174,999","Margin of Error!!Total:!!$150,000 to $174,999","Estimate!!Total:!!$175,000 to $199,999","Margin of Error!!Total:!!$175,000 to $199,999","Estimate!!Total:!!$200,000 to $249,999","Margin of Error!!Total:!!$200,000 to $249,999","Estimate!!Total:!!$250,000 to $299,999","Margin of Error!!Total:!!$250,000 to $299,999","Estimate!!Total:!!$300,000 to $399,999","Margin of Error!!Total:!!$300,000 to $399,999","Estimate!!Total:!!$400,000 to $499,999","Margin of Error!!Total:!!$400,000 to $499,999","Estimate!!Total:!!$500,000 to $749,999","Margin of Error!!Total:!!$500,000 to $749,999","Estimate!!Total:!!$750,000 to $999,999","Margin of Error!!Total:!!$750,000 to $999,999","Estimate!!Total:!!$1,000,000 to $1,499,999","Margin of Error!!Total:!!$1,000,000 to $1,499,999","Estimate!!Total:!!$1,500,000 to $1,999,999","Margin of Error!!Total:!!$1,500,000 to $1,999,999","Estimate!!Total:!!$2,000,000 or more","Margin of Error!!Total:!!$2,000,000 or more"
"1500000US370630001011","Block Group 1, Census Tract 1.01, Durham County, North Carolina","346","75","0","12","5","11","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","16","32","30","94","57","43","29","49","29","45","39","31","27","34","30","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US370630001012","Block Group 2, Census Tract 1.01, Durham County, North Carolina","548","102","9","15","8","12","0","12","0","12","0","12","4","7","0","12","0","12","0","12","12","20","0","12","12","15","13","15","169","82","50","39","71","52","120","95","40","36","0","12","40","39","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US370630001021","Block Group 1, Census Tract 1.02, Durham County, North Carolina","292","89","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","15","9","16","14","16","55","38","121","69","51","43","32","29","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US370630001022","Block Group 2, Census Tract 1.02, Durham County, North Carolina","323","84","9","14","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","18","21","26","22","45","35","51","53","125","53","16","19","33","26","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US370630002001","Block Group 1, Census Tract 2, Durham County, North Carolina","108","42","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","15","6","10","8","13","0","12","27","31","21","22","35","28","0","12","1","6","0","12","0","12","0","12","0","12"
"1500000US370630002002","Block Group 2, Census Tract 2, Durham County, North Carolina","129","53","0","12","0","12","11","16","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8","13","0","12","0","12","15","19","11","17","0","12","0","12","7","12","22","25","10","16","17","21","28","43","0","12","0","12","0","12","0","12"
"1500000US370630002003","Block Group 3, Census Tract 2, Durham County, North Carolina","298","71","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","27","42","19","21","15","18","71","44","39","26","25","25","49","33","53","34","0","12","0","12","0","12","0","12"
"1500000US370630003011","Block Group 1, Census Tract 3.01, Durham County, North Carolina","175","63","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","18","28","0","12","18","21","17","25","43","51","17","22","0","12","52","38","10","17","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US370630003012","Block Group 2, Census Tract 3.01, Durham County, North Carolina","96","43","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","12","8","13","0","12","8","14","11","17","16","24","0","12","43","32","0","12","0","12","0","12","0","12"
"1500000US370630003013","Block Group 3, Census Tract 3.01, Durham County, North Carolina","102","39","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","26","19","8","13","7","12","0","12","47","40","7","13","7","13","0","12","0","12"
"1500000US370630003021","Block Group 1, Census Tract 3.02, Durham County, North Carolina","298","69","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","34","30","37","28","33","27","95","55","67","39","32","25","0","12","0","12","0","12","0","12"
"1500000US370630003022","Block Group 2, Census Tract 3.02, Durham County, North Carolina","293","95","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","13","0","12","12","20","11","16","15","24","0","12","98","77","52","45","76","41","0","12","20","30","0","12","0","12"
"1500000US370630003023","Block Group 3, Census Tract 3.02, Durham County, North Carolina","191","76","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","20","22","47","30","97","67","19","23","8","13","0","12","0","12"
"1500000US370630004011","Block Group 1, Census Tract 4.01, Durham County, North Carolina","332","70","0","12","0","12","14","21","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","15","0","12","28","25","23","24","27","32","17","19","37","29","107","64","70","36","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US370630004012","Block Group 2, Census Tract 4.01, Durham County, North Carolina","298","53","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","21","0","12","25","27","18","19","103","49","88","46","31","25","18","20","0","12","0","12","0","12"
"1500000US370630004013","Block Group 3, Census Tract 4.01, Durham County, North Carolina","256","64","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","7","12","9","14","38","39","13","23","72","43","49","37","38","32","30","27","0","12","0","12","0","12"
"1500000US370630004021","Block Group 1, Census Tract 4.02, Durham County, North Carolina","283","60","0","12","0","12","0","12","5","8","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","7","11","23","26","0","12","35","29","44","38","24","22","68","42","54","38","23","20","0","12","0","12","0","12","0","12"
"1500000US370630005001","Block Group 1, Census Tract 5, Durham County, North Carolina","30","36","0","12","15","26","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","25","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US370630005002","Block Group 2, Census Tract 5, Durham County, North Carolina","111","54","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","20","24","0","12","42","25","9","14","40","33","0","12","0","12","0","12","0","12"
"1500000US370630005003","Block Group 3, Census Tract 5, Durham County, North Carolina","171","79","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","16","23","34","38","60","62","0","12","26","23","0","12","35","56","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US370630005004","Block Group 4, Census Tract 5, Durham County, North Carolina","115","67","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","16","26","0","12","0","12","9","14","28","33","33","41","0","12","8","12","8","13","13","19","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US370630006001","Block Group 1, Census Tract 6, Durham County, North Carolina","485","136","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","27","30","57","67","56","42","156","92","128","81","37","43","24","31","0","12","0","12","0","12","0","12"
