Point X,Point Y,Planting Site Id,Updated At,Updated By,Tree Id,Tree Present,Genus,Species,Cultivar,Other Part Of Name,Common Name,Diameter,Tree: Height,block_fips
-78.9262251556,35.9868387711,3192292,2018-07-31T16:07:35.056524+00:00,Dbh99999,,False,,,,,,,,370630006001003
-78.8874283433,36.00680531,3214006,2018-10-22T17:51:33.448075+00:00,Dbh99999,,False,,,,,,,,370630002002005
-78.9165626552,35.9667442782,3181442,2018-07-16T13:38:23.688246+00:00,Dbh99999,,False,,,,,,,,370630013041006
-78.87905717,36.03359194,3303855,2020-05-25T20:12:17.360093+00:00,fpfeiffer,2942163,True,Cercis,canadensis,,,Eastern redbud,1.0,0-20,370630017092000
-78.90851185,36.01307134,3186883,2020-03-30T19:33:43.685103+00:00,DanHickey,2833922,True,Quercus,macrocarpa,,,Bur oak,2.0,0-20,370630003022004
-78.88024539,35.99256928,3166513,2020-04-25T18:56:47.487908+00:00,ehobbsbrown,2887578,True,Ginkgo,biloba,,,Ginkgo,0.5,0-20,370630010011008
-78.9253210451,35.9492141105,3313697,2020-07-02T12:39:12.565462+00:00,DanHickey,2948096,True,Ilex,,,,Holly,10.0,0-20,370630020093023
-78.9108162927,36.0137541059,3127485,2021-05-05T14:49:23.700372+00:00,DanHickey,2784336,True,Cercis,canadensis,,,Eastern redbud,1.0,0-20,370630003021011
-78.88700321,35.99916303,3214480,2020-03-30T20:21:25.508742+00:00,DanHickey,2853512,True,Quercus,phellos,,,Willow oak,28.0,60-80,370630009002009
-78.92614871,35.98681273,3192293,2020-03-30T19:28:40.840913+00:00,DanHickey,2838335,True,Acer,ginnala,,,Amur maple,1.0,0-20,370630006001003
-78.9167551603,35.9668561218,3181443,2018-07-16T13:41:08.331857+00:00,KPIGNONE,,False,,,,,,,,370630013041007
-78.88731301,36.00694634,3214007,2020-03-05T13:46:34.291863+00:00,DanHickey,2941975,True,Acer,buergerianum,,,Trident maple,0.5,0-20,370630002002000
-78.90894502,36.01319501,2589700,2020-03-30T19:35:29.603837+00:00,DanHickey,2304303,True,Cercis,canadensis,,,Eastern redbud,3.0,0-20,370630003021012
-78.91097134,36.01368444,2590081,2020-03-30T20:05:30.724205+00:00,DanHickey,2304684,True,Juniperus,virginiana,,,Eastern red cedar,11.0,20-40,370630003012013
-78.87991279,36.03367436,3303856,2020-05-25T20:12:12.165675+00:00,fpfeiffer,2942164,True,Cercis,canadensis,,,Eastern redbud,1.0,0-20,370630017092000
-78.925352064,35.949241058,3313698,2020-07-02T12:41:29.837150+00:00,DanHickey,2948097,True,Ilex,,,,Holly,10.0,0-20,370630020093023
-78.9042511,36.0290993,3272314,2020-03-30T19:43:42.889504+00:00,DanHickey,2910091,True,Prunus,,,,Cherry,4.0,0-20,370630001022019
-78.9090428636,36.0130787951,3186884,2018-07-23T12:46:21.466774+00:00,Dbh99999,,False,,,,,,,,370630003022004
-78.8872674108,36.0068682332,3214008,2018-10-22T17:52:14.850834+00:00,Dbh99999,,False,,,,,,,,370630002002005
-78.8870112598,35.9690390977,3175279,2018-06-29T16:54:07.749707+00:00,AlexJohnson,,False,,,,,,,,370630014001010
-78.9253802181,35.9492711136,3313699,2020-07-02T12:41:52.160753+00:00,DanHickey,2948098,True,Ilex,,,,Holly,10.0,0-20,370630020093023
-78.91081855,36.01382202,3127486,2021-05-10T17:49:40.679101+00:00,DanHickey,,False,,,,,,,,370630003021011
-78.88277096,36.03394871,3303857,2021-11-01T18:22:09.150144+00:00,DanHickey,2997042,True,Parrotia,persica,,,Persian Ironwood,1.0,0-20,370630017092000
-78.88113052,35.99259858,3166516,2020-04-25T18:47:28.891124+00:00,ehobbsbrown,2888009,True,Acer,buergerianum,,,Trident maple,0.5,0-20,370630010011008
-78.9109043777,36.0110687838,3186885,2018-07-23T18:11:29.027530+00:00,Dbh99999,,False,,,,,,,,370630003022014
-78.9186273118,35.9918009735,3191554,2018-07-30T16:03:52.724682+00:00,Dbh99999,,False,,,,,,,,370630005004003
-78.926298715,35.9872379943,3192295,2018-07-31T13:37:19.697658+00:00,KPIGNONE,,False,,,,,,,,370630006001002
-78.92955963,36.01957006,3268565,2020-03-30T19:58:37.047500+00:00,DanHickey,2906928,True,Acer,buergerianum,,,Trident maple,7.0,0-20,370630004012010
-78.8871976733,36.0068877611,3214009,2018-10-22T17:52:05.624460+00:00,Dbh99999,,False,,,,,,,,370630002002005
-78.8868987186,35.9696767446,3175280,2018-06-29T14:37:14.577499+00:00,KPIGNONE,,False,,,,,,,,370630014001010
-78.91095215,36.01380539,2589190,2020-03-30T20:21:42.644684+00:00,DanHickey,2303792,True,Juniperus,virginiana,,,Eastern red cedar,22.0,20-40,370630003012013
-78.90254331,36.00050253,3213217,2019-08-27T17:53:02.486264+00:00,DanHickey,2874614,True,Nyssa,sylvatica,,,Black Gum,0.5,0-20,370630022001018
-78.88315022,36.03398887,3303858,2020-05-25T20:14:28.312295+00:00,fpfeiffer,2942166,True,Cercis,canadensis,,,Eastern redbud,1.0,0-20,370630017092000
-78.9228423626,35.9469671559,3313700,2020-07-02T12:48:50.674956+00:00,DanHickey,2948099,True,Pistacia,chinensis,,,Chinese pistache,15.0,0-20,370630020093022
-78.9107969108,36.0140446313,3186096,2018-07-20T12:43:57.307453+00:00,KPIGNONE,,False,,,,,,,,370630003021011
-78.9108105004,36.0110720382,3186886,2018-07-23T18:11:37.415679+00:00,Dbh99999,,False,,,,,,,,370630003022014
-78.9263576292,35.9874260926,3192296,2018-07-31T13:40:53.684930+00:00,Dbh99999,,False,,,,,,,,370630006002002
-78.8870769739,36.0069322412,3214010,2018-10-22T17:52:15.308826+00:00,Dbh99999,,False,,,,,,,,370630002002005
-78.8869057708,35.969588783,3175281,2018-06-29T16:54:53.642410+00:00,AlexJohnson,,False,,,,,,,,370630014001010
-78.9164833791,35.9668386818,3181445,2018-07-16T13:41:28.540942+00:00,Dbh99999,,False,,,,,,,,370630013041006
-78.9227328575,35.9468739963,3313701,2020-07-02T12:49:06.611907+00:00,DanHickey,2948100,True,Pistacia,chinensis,,,Chinese pistache,12.0,0-20,370630020093022
-78.9106593445,36.0110668204,3186887,2018-07-23T12:54:36.578663+00:00,Dbh99999,,False,,,,,,,,370630003022014
-78.9262670289,35.9872685232,3192297,2018-07-31T13:41:04.895458+00:00,KPIGNONE,,False,,,,,,,,370630006001002
-78.8869612261,35.9692499649,3175282,2018-06-29T14:40:07.280989+00:00,KPIGNONE,,False,,,,,,,,370630014001010
-78.9061159566,35.96542927,3179990,2018-07-11T13:26:09.814008+00:00,Dbh99999,,False,,,,,,,,370630013041017
-78.91094351,36.01386709,2590078,2020-03-30T20:00:45.519907+00:00,DanHickey,2304681,True,Lagerstroemia,,,,Common crapemyrtle,8.0,0-20,370630003012013
-78.90240723,36.00049796,3213219,2019-08-27T17:53:01.946027+00:00,DanHickey,2874612,True,Nyssa,sylvatica,,,Black Gum,0.5,0-20,370630022001018
-78.88618358,36.00724619,3214011,2020-03-30T20:02:21.788116+00:00,DanHickey,2853369,True,Ulmus,americana,,,American elm,12.0,20-40,370630002002006
-78.9226338736,35.9467888597,3313702,2020-07-02T12:47:22.726945+00:00,DanHickey,2948101,True,Pistacia,chinensis,,,Chinese pistache,12.0,0-20,370630020093022
-78.9263089746,35.9874697876,3192298,2018-07-31T16:11:57.752694+00:00,Dbh99999,,False,,,,,,,,370630006002002
-78.8869965076,35.9690998802,3175283,2018-06-29T16:56:07.106726+00:00,AlexJohnson,,False,,,,,,,,370630014001010
-78.89145434,35.9908939,3214485,2020-03-05T13:49:52.382645+00:00,DanHickey,2939639,True,Ilex,opaca,,,American holly,1.0,0-20,370630011001028
-78.9107869149,36.014136625,3186097,2018-07-20T12:47:23.464251+00:00,KPIGNONE,,False,,,,,,,,370630003021011
-78.88582017,36.0073398,3214012,2020-03-30T19:43:43.137139+00:00,DanHickey,2853370,True,Ilex,,,,Holly,4.0,0-20,370630002002006
-78.9192017913,35.9918227415,3191557,2018-07-30T16:13:31.602239+00:00,Dbh99999,,False,,,,,,,,370630005004004
-78.9062487626,35.9653724976,3179991,2018-07-11T13:26:30.915063+00:00,Dbh99999,,False,,,,,,,,370630013041009
-78.9166496694,35.966995259,3181447,2018-07-16T17:16:15.261882+00:00,Dbh99999,,False,,,,,,,,370630013041007
-78.9041951802,35.9389983236,3313703,2020-07-02T12:54:23.143551+00:00,DanHickey,2948102,True,Pistacia,chinensis,,,Chinese pistache,15.0,20-40,370630020262027
-78.9102832675,36.0111591812,3186888,2019-07-08T18:33:39.572902+00:00,DanHickey,,False,,,,,,,,370630003022006
-78.88150737,35.99261594,3166519,2019-08-27T17:55:59.669478+00:00,DanHickey,2888006,True,Acer,buergerianum,,,Trident maple,0.5,0-20,370630010011008
-78.90234706,36.00049626,3213220,2019-08-27T17:53:08.240153+00:00,DanHickey,2874611,True,Nyssa,sylvatica,,,Black Gum,0.5,0-20,370630022001018
-78.8867738843,35.9994874366,3214486,2018-10-24T17:26:13.785893+00:00,Dbh99999,,False,,,,,,,,370630009002021
-78.9109309314,36.0140349259,3186098,2018-07-20T12:47:44.489034+00:00,Dbh99999,,False,,,,,,,,370630003012013
