GEO_ID,NAME,B25075_001E,B25075_001M,B25075_002E,B25075_002M,B25075_003E,B25075_003M,B25075_004E,B25075_004M,B25075_005E,B25075_005M,B25075_006E,B25075_006M,B25075_007E,B25075_007M,B25075_008E,B25075_008M,B25075_009E,B25075_009M,B25075_010E,B25075_010M,B25075_011E,B25075_011M,B25075_012E,B25075_012M,B25075_013E,B25075_013M,B25075_014E,B25075_014M,B25075_015E,B25075_015M,B25075_016E,B25075_016M,B25075_017E,B25075_017M,B25075_018E,B25075_018M,B25075_019E,B25075_019M,B25075_020E,B25075_020M,B25075_021E,B25075_021M,B25075_022E,B25075_022M,B25075_023E,B25075_023M,B25075_024E,B25075_024M,B25075_025E,B25075_025M,B25075_026E,B25075_026M,B25075_027E,B25075_027M
id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,"Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $49,999","Margin of Error!!Total!!$40,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $69,999","Margin of Error!!Total!!$60,000 to $69,999","Estimate!!Total!!$70,000 to $79,999","Margin of Error!!Total!!$70,000 to $79,999","Estimate!!Total!!$80,000 to $89,999","Margin of Error!!Total!!$80,000 to $89,999","Estimate!!Total!!$90,000 to $99,999","Margin of Error!!Total!!$90,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $174,999","Margin of Error!!Total!!$150,000 to $174,999","Estimate!!Total!!$175,000 to $199,999","Margin of Error!!Total!!$175,000 to $199,999","Estimate!!Total!!$200,000 to $249,999","Margin of Error!!Total!!$200,000 to $249,999","Estimate!!Total!!$250,000 to $299,999","Margin of Error!!Total!!$250,000 to $299,999","Estimate!!Total!!$300,000 to $399,999","Margin of Error!!Total!!$300,000 to $399,999","Estimate!!Total!!$400,000 to $499,999","Margin of Error!!Total!!$400,000 to $499,999","Estimate!!Total!!$500,000 to $749,999","Margin of Error!!Total!!$500,000 to $749,999","Estimate!!Total!!$750,000 to $999,999","Margin of Error!!Total!!$750,000 to $999,999","Estimate!!Total!!$1,000,000 to $1,499,999","Margin of Error!!Total!!$1,000,000 to $1,499,999","Estimate!!Total!!$1,500,000 to $1,999,999","Margin of Error!!Total!!$1,500,000 to $1,999,999","Estimate!!Total!!$2,000,000 or more","Margin of Error!!Total!!$2,000,000 or more"
1500000US370630001011,"Block Group 1, Census Tract 1.01, Durham County, North Carolina",273,81,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,8,0,12,10,13,34,32,63,48,71,41,32,27,24,25,16,19,18,19,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370630001012,"Block Group 2, Census Tract 1.01, Durham County, North Carolina",457,117,7,11,4,8,0,12,0,12,0,12,2,5,0,12,12,15,0,12,0,12,21,34,49,45,25,23,128,71,58,34,64,58,40,34,31,28,0,12,16,25,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370630001021,"Block Group 1, Census Tract 1.02, Durham County, North Carolina",277,81,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,13,7,13,22,20,54,36,113,60,35,34,21,26,0,12,0,12,0,12,0,12,0,12,17,27,0,12,0,12
1500000US370630001022,"Block Group 2, Census Tract 1.02, Durham County, North Carolina",304,69,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,16,17,34,27,23,21,59,38,42,44,87,42,15,17,16,18,12,18,0,12,0,12,0,12,0,12,0,12
1500000US370630002001,"Block Group 1, Census Tract 2, Durham County, North Carolina",136,68,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,32,39,6,10,10,16,0,12,53,49,0,12,30,24,0,12,5,8,0,12,0,12,0,12,0,12
1500000US370630002002,"Block Group 2, Census Tract 2, Durham County, North Carolina",161,70,0,12,0,12,9,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,13,0,12,0,12,36,33,7,13,23,37,0,12,16,20,27,26,0,12,13,16,22,31,0,12,0,12,0,12,0,12
1500000US370630002003,"Block Group 3, Census Tract 2, Durham County, North Carolina",252,65,8,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,20,30,15,18,17,19,57,36,38,24,22,22,43,27,32,26,0,12,0,12,0,12,0,12
1500000US370630003011,"Block Group 1, Census Tract 3.01, Durham County, North Carolina",169,50,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,15,22,0,12,9,15,39,39,41,45,13,16,0,12,40,36,12,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370630003012,"Block Group 2, Census Tract 3.01, Durham County, North Carolina",100,45,6,9,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,12,8,13,11,15,0,12,9,15,8,13,0,12,10,15,41,33,0,12,0,12,0,12,0,12
