NAME,B25075_001E,B25075_002E,B25075_003E,B25075_004E,B25075_005E,B25075_006E,B25075_007E,B25075_008E,B25075_009E,B25075_010E,B25075_011E,B25075_012E,B25075_013E,B25075_014E,B25075_015E,B25075_016E,B25075_017E,B25075_018E,B25075_019E,B25075_020E,B25075_021E,B25075_022E,B25075_023E,B25075_024E,B25075_025E,B25075_026E,B25075_027E,best_col,best,best_range
Geographic Area Name,Estimate!!Total:,"Estimate!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $69,999","Estimate!!Total:!!$70,000 to $79,999","Estimate!!Total:!!$80,000 to $89,999","Estimate!!Total:!!$90,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $174,999","Estimate!!Total:!!$175,000 to $199,999","Estimate!!Total:!!$200,000 to $249,999","Estimate!!Total:!!$250,000 to $299,999","Estimate!!Total:!!$300,000 to $399,999","Estimate!!Total:!!$400,000 to $499,999","Estimate!!Total:!!$500,000 to $749,999","Estimate!!Total:!!$750,000 to $999,999","Estimate!!Total:!!$1,000,000 to $1,499,999","Estimate!!Total:!!$1,500,000 to $1,999,999","Estimate!!Total:!!$2,000,000 or more",3,"Estimate!!Total:!!Less than $10,000","Less than $10,000"
"Block Group 1, Census Tract 1.01, Durham County, North Carolina",346,0,5,0,0,0,0,0,0,0,0,0,0,13,32,94,43,49,45,31,34,0,0,0,0,0,0,17,94,"$125,000 to $149,999"
"Block Group 2, Census Tract 1.01, Durham County, North Carolina",548,9,8,0,0,0,4,0,0,0,12,0,12,13,169,50,71,120,40,0,40,0,0,0,0,0,0,3,9,"Less than $10,000"
"Block Group 1, Census Tract 1.02, Durham County, North Carolina",292,0,0,0,0,0,0,0,0,0,0,0,10,9,14,55,121,51,32,0,0,0,0,0,0,0,0,15,9,"$90,000 to $99,999"
"Block Group 2, Census Tract 1.02, Durham County, North Carolina",323,9,0,0,0,0,0,0,0,0,0,0,0,0,18,26,45,51,125,16,33,0,0,0,0,0,0,3,9,"Less than $10,000"
"Block Group 1, Census Tract 2, Durham County, North Carolina",108,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,8,0,27,21,35,0,1,0,0,0,0,18,8,"$150,000 to $174,999"
"Block Group 2, Census Tract 2, Durham County, North Carolina",129,0,0,11,0,0,0,0,0,0,0,8,0,0,15,11,0,0,7,22,10,17,28,0,0,0,0,13,8,"$70,000 to $79,999"
"Block Group 3, Census Tract 2, Durham County, North Carolina",298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,19,15,71,39,25,49,53,0,0,0,0,20,71,"$200,000 to $249,999"
"Block Group 1, Census Tract 3.01, Durham County, North Carolina",175,0,0,0,0,0,0,0,0,0,0,18,0,18,17,43,17,0,52,10,0,0,0,0,0,0,0,20,52,"$200,000 to $249,999"
"Block Group 2, Census Tract 3.01, Durham County, North Carolina",96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,8,11,16,0,43,0,0,0,0,18,8,"$150,000 to $174,999"
"Block Group 3, Census Tract 3.01, Durham County, North Carolina",102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,8,7,0,47,7,7,0,0,21,8,"$250,000 to $299,999"
"Block Group 1, Census Tract 3.02, Durham County, North Carolina",298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,37,33,95,67,32,0,0,0,0,22,95,"$300,000 to $399,999"
"Block Group 2, Census Tract 3.02, Durham County, North Carolina",293,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,11,15,0,98,52,76,0,20,0,0,22,98,"$300,000 to $399,999"
"Block Group 3, Census Tract 3.02, Durham County, North Carolina",191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,47,97,19,8,0,0,24,97,"$500,000 to $749,999"
"Block Group 1, Census Tract 4.01, Durham County, North Carolina",332,0,0,14,0,0,0,0,0,0,0,0,9,0,28,23,27,17,37,107,70,0,0,0,0,0,0,14,9,"$80,000 to $89,999"
"Block Group 2, Census Tract 4.01, Durham County, North Carolina",298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,25,18,103,88,31,18,0,0,0,23,88,"$400,000 to $499,999"
"Block Group 3, Census Tract 4.01, Durham County, North Carolina",256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,38,13,72,49,38,30,0,0,0,19,9,"$175,000 to $199,999"
"Block Group 1, Census Tract 4.02, Durham County, North Carolina",283,0,0,0,5,0,0,0,0,0,0,0,0,0,7,23,0,35,44,24,68,54,23,0,0,0,0,16,7,"$100,000 to $124,999"
"Block Group 1, Census Tract 5, Durham County, North Carolina",30,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,4,15,"$10,000 to $14,999"
"Block Group 2, Census Tract 5, Durham County, North Carolina",111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,42,9,40,0,0,0,0,23,9,"$400,000 to $499,999"
"Block Group 3, Census Tract 5, Durham County, North Carolina",171,0,0,0,0,0,0,0,0,0,0,0,0,0,16,34,60,0,26,0,35,0,0,0,0,0,0,18,60,"$150,000 to $174,999"
"Block Group 4, Census Tract 5, Durham County, North Carolina",115,0,0,0,0,0,0,0,0,0,16,0,0,9,28,33,0,8,8,13,0,0,0,0,0,0,0,15,9,"$90,000 to $99,999"
"Block Group 1, Census Tract 6, Durham County, North Carolina",485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,57,56,156,128,37,24,0,0,0,0,19,57,"$175,000 to $199,999"
"Block Group 2, Census Tract 6, Durham County, North Carolina",394,0,0,0,0,0,0,0,0,0,0,0,0,0,38,13,0,16,7,67,109,60,48,21,0,0,15,20,7,"$200,000 to $249,999"
"Block Group 3, Census Tract 6, Durham County, North Carolina",153,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,5,0,19,31,62,15,0,0,0,24,62,"$500,000 to $749,999"
"Block Group 1, Census Tract 7, Durham County, North Carolina",100,0,14,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,6,0,0,26,28,0,9,0,0,17,9,"$125,000 to $149,999"
"Block Group 2, Census Tract 7, Durham County, North Carolina",438,0,0,17,0,0,0,0,0,0,0,0,0,0,0,7,0,27,44,39,64,126,75,39,0,0,0,24,75,"$500,000 to $749,999"
"Block Group 3, Census Tract 7, Durham County, North Carolina",365,0,0,0,0,0,0,0,0,0,0,0,9,0,10,0,47,0,49,63,100,15,53,19,0,0,0,14,9,"$80,000 to $89,999"
