"B25075_001E","B25075_001M","B25075_002E","B25075_002M","B25075_003E","B25075_003M","B25075_004E","B25075_004M","B25075_005E","B25075_005M","B25075_006E","B25075_006M","B25075_007E","B25075_007M","B25075_008E","B25075_008M","B25075_009E","B25075_009M","B25075_010E","B25075_010M","B25075_011E","B25075_011M","B25075_012E","B25075_012M","B25075_013E","B25075_013M","B25075_014E","B25075_014M","B25075_015E","B25075_015M","B25075_016E","B25075_016M","B25075_017E","B25075_017M","B25075_018E","B25075_018M","B25075_019E","B25075_019M","B25075_020E","B25075_020M","B25075_021E","B25075_021M","B25075_022E","B25075_022M","B25075_023E","B25075_023M","B25075_024E","B25075_024M","B25075_025E","B25075_025M","B25075_026E","B25075_026M","B25075_027E","B25075_027M","GEO_ID","NAME"
"263","61","0","12","12","18","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","23","28","10","15","9","14","28","27","28","28","13","18","60","36","26","26","54","35","0","12","0","12","0","12","0","12","1500000US370630003022","Block Group 2, Census Tract 3.02, Durham County, North Carolina"
"169","66","8","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","17","20","0","12","37","45","48","30","27","22","32","27","0","12","0","12","0","12","1500000US370630003023","Block Group 3, Census Tract 3.02, Durham County, North Carolina"
"368","70","0","12","0","12","30","30","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","17","12","19","0","12","58","42","16","21","56","30","0","12","50","31","85","43","50","34","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630004011","Block Group 1, Census Tract 4.01, Durham County, North Carolina"
"369","58","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","20","21","0","12","24","26","11","17","93","52","41","30","87","37","84","34","0","12","9","15","0","12","0","12","0","12","1500000US370630004012","Block Group 2, Census Tract 4.01, Durham County, North Carolina"
"287","54","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","12","17","0","12","34","30","7","12","39","30","47","31","75","41","41","35","22","22","10","17","0","12","0","12","0","12","1500000US370630004013","Block Group 3, Census Tract 4.01, Durham County, North Carolina"
"308","52","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","16","20","10","16","19","21","59","40","40","34","46","41","88","53","18","21","12","17","0","12","0","12","0","12","0","12","1500000US370630004021","Block Group 1, Census Tract 4.02, Durham County, North Carolina"
"13","20","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","20","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630005001","Block Group 1, Census Tract 5, Durham County, North Carolina"
"74","37","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","12","17","0","12","13","14","0","12","38","28","0","12","6","12","0","12","5","11","0","12","0","12","0","12","0","12","1500000US370630005002","Block Group 2, Census Tract 5, Durham County, North Carolina"
"140","54","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","23","23","26","12","20","16","25","33","34","26","35","0","12","15","18","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630005003","Block Group 3, Census Tract 5, Durham County, North Carolina"
"84","48","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","16","0","12","34","33","21","25","0","12","8","13","11","15","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630005004","Block Group 4, Census Tract 5, Durham County, North Carolina"
"302","102","10","18","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","24","37","0","12","22","30","0","12","82","51","22","34","32","36","32","37","33","38","24","34","9","15","12","21","0","12","0","12","0","12","1500000US370630006001","Block Group 1, Census Tract 6, Durham County, North Carolina"
"305","75","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","14","23","0","12","33","36","13","20","65","47","38","42","69","45","37","31","36","47","0","12","0","12","0","12","0","12","1500000US370630006002","Block Group 2, Census Tract 6, Durham County, North Carolina"
"226","68","0","12","0","12","0","12","0","12","0","12","0","12","0","12","7","14","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","126","79","64","49","29","32","0","12","0","12","0","12","0","12","1500000US370630006003","Block Group 3, Census Tract 6, Durham County, North Carolina"
"112","51","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8","13","0","12","7","13","28","26","11","17","13","21","12","17","11","18","0","12","8","13","14","22","0","12","1500000US370630007001","Block Group 1, Census Tract 7, Durham County, North Carolina"
"352","68","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","15","0","12","37","32","71","43","39","32","70","42","56","49","49","35","21","24","0","12","0","12","0","12","1500000US370630007002","Block Group 2, Census Tract 7, Durham County, North Carolina"
"331","72","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","16","25","8","13","0","12","9","15","8","12","0","12","18","20","27","27","77","52","33","32","50","44","37","28","31","24","17","19","0","12","0","12","0","12","1500000US370630007003","Block Group 3, Census Tract 7, Durham County, North Carolina"
"52","26","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","5","8","0","12","7","10","7","11","15","17","9","13","4","7","0","12","0","12","5","7","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630009001","Block Group 1, Census Tract 9, Durham County, North Carolina"
"101","45","0","12","0","12","0","12","0","12","0","12","0","12","0","12","19","22","0","12","20","16","0","12","37","30","0","12","6","10","0","12","0","12","12","15","0","12","0","12","0","12","0","12","0","12","0","12","7","10","0","12","0","12","1500000US370630009002","Block Group 2, Census Tract 9, Durham County, North Carolina"
"60","42","9","16","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","21","24","0","12","0","12","19","30","11","17","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630010011","Block Group 1, Census Tract 10.01, Durham County, North Carolina"
"102","59","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","13","9","14","9","14","0","12","11","21","25","38","31","37","0","12","8","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630010012","Block Group 2, Census Tract 10.01, Durham County, North Carolina"
"138","65","0","12","0","12","11","17","10","16","0","12","0","12","0","12","8","13","45","50","20","30","0","12","10","17","0","12","29","30","5","8","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630010013","Block Group 3, Census Tract 10.01, Durham County, North Carolina"
"199","87","0","12","14","25","0","12","0","12","0","12","0","12","0","12","0","12","30","31","37","49","30","50","0","12","33","37","13","27","18","32","24","37","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630010021","Block Group 1, Census Tract 10.02, Durham County, North Carolina"
"166","122","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","12","21","26","42","0","12","116","113","0","12","11","19","1","14","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630010022","Block Group 2, Census Tract 10.02, Durham County, North Carolina"
"41","48","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","26","0","12","0","12","0","12","13","32","13","22","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630010023","Block Group 3, Census Tract 10.02, Durham County, North Carolina"
"116","116","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","35","56","0","12","0","12","70","99","11","23","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630010024","Block Group 4, Census Tract 10.02, Durham County, North Carolina"
"130","55","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","19","28","0","12","28","28","11","16","10","16","0","12","14","22","8","12","16","22","8","13","16","24","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630011001","Block Group 1, Census Tract 11, Durham County, North Carolina"
"104","52","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","17","27","25","28","16","20","0","12","0","12","33","40","13","22","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630011002","Block Group 2, Census Tract 11, Durham County, North Carolina"
"158","42","0","12","4","6","0","12","4","7","0","12","0","12","17","22","0","12","10","9","22","22","18","20","5","7","4","7","52","30","9","8","6","9","2","4","5","9","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630013011","Block Group 1, Census Tract 13.01, Durham County, North Carolina"
"118","43","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","5","7","3","4","10","10","13","12","24","19","34","28","14","18","0","12","13","16","0","12","0","12","2","5","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630013031","Block Group 1, Census Tract 13.03, Durham County, North Carolina"
"87","28","5","7","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","14","16","16","4","6","8","9","10","12","18","14","9","9","0","12","4","6","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630013032","Block Group 2, Census Tract 13.03, Durham County, North Carolina"
"226","74","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","17","21","34","31","26","30","18","20","0","12","26","21","47","32","35","28","0","12","14","21","0","12","0","12","9","14","0","12","0","12","0","12","0","12","0","12","1500000US370630013041","Block Group 1, Census Tract 13.04, Durham County, North Carolina"
"100","38","0","12","7","11","0","12","0","12","0","12","0","12","0","12","8","14","14","20","10","14","15","15","7","11","10","16","7","11","0","12","22","27","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630014001","Block Group 1, Census Tract 14, Durham County, North Carolina"
"119","44","0","12","0","12","0","12","0","12","0","12","0","12","9","15","0","12","63","37","7","10","23","22","0","12","0","12","0","12","0","12","0","12","8","12","0","12","0","12","0","12","9","13","0","12","0","12","0","12","0","12","0","12","1500000US370630014002","Block Group 2, Census Tract 14, Durham County, North Carolina"
"5","7","5","7","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630015011","Block Group 1, Census Tract 15.01, Durham County, North Carolina"
"13","19","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","19","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630015021","Block Group 1, Census Tract 15.02, Durham County, North Carolina"
"16","26","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","16","26","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630015022","Block Group 2, Census Tract 15.02, Durham County, North Carolina"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630015023","Block Group 3, Census Tract 15.02, Durham County, North Carolina"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630015024","Block Group 4, Census Tract 15.02, Durham County, North Carolina"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630015031","Block Group 1, Census Tract 15.03, Durham County, North Carolina"
"371","76","0","12","0","12","0","12","0","12","12","18","0","12","0","12","0","12","0","12","0","12","0","12","0","12","18","28","21","25","56","37","30","36","17","28","107","72","0","12","83","60","27","40","0","12","0","12","0","12","0","12","0","12","1500000US370630016011","Block Group 1, Census Tract 16.01, Durham County, North Carolina"
"1180","148","24","39","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","41","64","15","24","0","12","0","12","55","52","100","60","423","149","100","86","251","110","123","70","48","57","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630016012","Block Group 2, Census Tract 16.01, Durham County, North Carolina"
"467","87","44","49","0","12","15","24","0","12","0","12","13","21","0","12","0","12","0","12","0","12","0","12","0","12","27","31","0","12","87","47","166","76","54","44","43","38","0","12","18","29","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630016013","Block Group 3, Census Tract 16.01, Durham County, North Carolina"
"249","75","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","33","37","76","58","74","55","15","25","32","37","5","12","14","23","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630016031","Block Group 1, Census Tract 16.03, Durham County, North Carolina"
"1170","150","18","28","0","12","0","12","8","14","0","12","0","12","10","18","0","12","0","12","0","12","0","12","0","12","16","26","78","88","222","126","87","59","307","140","214","118","173","69","25","31","0","12","0","12","12","21","0","12","0","12","0","12","1500000US370630016032","Block Group 2, Census Tract 16.03, Durham County, North Carolina"
"377","109","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","24","0","12","0","12","0","12","0","12","55","54","38","29","204","103","13","22","41","42","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","20","1500000US370630016033","Block Group 3, Census Tract 16.03, Durham County, North Carolina"
"575","94","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","12","19","0","12","50","47","0","12","67","56","95","60","87","54","54","47","145","61","50","37","0","12","15","23","0","12","0","12","0","12","1500000US370630016034","Block Group 4, Census Tract 16.03, Durham County, North Carolina"
"709","125","14","22","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","18","29","84","59","92","68","204","104","153","73","61","46","83","68","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630016041","Block Group 1, Census Tract 16.04, Durham County, North Carolina"
"1003","122","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","30","34","0","12","15","23","0","12","0","12","42","40","382","110","201","89","211","101","82","63","40","45","0","12","0","12","0","12","0","12","1500000US370630016042","Block Group 2, Census Tract 16.04, Durham County, North Carolina"
"620","116","0","12","0","12","0","12","0","12","52","60","0","12","0","12","0","12","0","12","0","12","0","12","59","52","17","26","13","21","24","37","152","92","60","66","0","12","98","56","89","59","14","23","32","38","10","16","0","12","0","12","0","12","1500000US370630016043","Block Group 3, Census Tract 16.04, Durham County, North Carolina"
"452","144","0","12","13","20","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","14","23","33","39","128","85","192","115","38","35","10","24","1","9","0","12","0","12","0","12","0","12","0","12","23","34","0","12","1500000US370630017051","Block Group 1, Census Tract 17.05, Durham County, North Carolina"
"537","130","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","21","0","12","0","12","34","51","91","79","90","68","15","23","60","59","0","12","12","21","33","51","149","91","0","12","0","12","40","58","0","12","1500000US370630017052","Block Group 2, Census Tract 17.05, Durham County, North Carolina"
"238","105","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","27","42","0","12","0","12","0","12","23","35","155","85","0","12","29","43","0","12","4","19","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630017053","Block Group 3, Census Tract 17.05, Durham County, North Carolina"
"538","102","0","12","0","12","0","12","0","12","0","12","23","35","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","26","39","85","59","40","46","121","68","82","62","81","61","45","42","35","40","0","12","0","12","0","12","0","12","1500000US370630017061","Block Group 1, Census Tract 17.06, Durham County, North Carolina"
"413","100","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","22","25","48","46","113","59","44","52","49","47","43","44","28","32","52","48","14","28","0","12","0","12","0","12","0","12","0","12","1500000US370630017062","Block Group 2, Census Tract 17.06, Durham County, North Carolina"
"427","79","0","12","0","12","15","22","13","22","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","33","55","87","55","31","35","78","58","31","35","73","52","31","26","35","39","0","12","0","12","0","12","0","12","1500000US370630017071","Block Group 1, Census Tract 17.07, Durham County, North Carolina"
"624","112","0","12","0","12","15","28","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","30","32","102","86","110","61","16","24","190","100","58","37","85","62","0","12","0","12","0","12","18","27","0","12","0","12","1500000US370630017072","Block Group 2, Census Tract 17.07, Durham County, North Carolina"
"193","52","23","34","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","23","0","12","31","25","14","23","18","29","16","25","76","41","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630017073","Block Group 3, Census Tract 17.07, Durham County, North Carolina"
"721","116","0","12","0","12","18","28","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","25","29","34","140","58","136","94","208","106","50","45","59","48","51","55","15","24","0","12","0","12","0","12","0","12","1500000US370630017074","Block Group 4, Census Tract 17.07, Durham County, North Carolina"
"372","110","17","27","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","35","40","0","12","0","12","15","25","15","24","0","12","18","30","0","12","13","22","16","26","0","12","37","46","105","57","72","56","29","33","0","12","0","12","1500000US370630017075","Block Group 5, Census Tract 17.07, Durham County, North Carolina"
"1216","128","0","17","0","17","0","17","0","17","7","11","0","17","0","17","0","17","0","17","10","15","0","17","59","53","20","24","211","85","242","97","228","67","263","106","91","57","59","58","4","7","0","17","2","12","9","15","11","17","0","17","0","17","1500000US370630017081","Block Group 1, Census Tract 17.08, Durham County, North Carolina"
"214","116","0","12","0","12","0","12","0","12","0","12","0","12","0","12","4","12","0","12","0","12","56","58","0","12","0","12","120","101","0","12","0","12","0","12","18","27","0","12","0","12","0","12","16","26","0","12","0","12","0","12","0","12","1500000US370630017091","Block Group 1, Census Tract 17.09, Durham County, North Carolina"
"189","100","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","34","51","59","72","8","14","0","12","35","35","7","15","0","12","0","12","0","12","0","12","46","72","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630017092","Block Group 2, Census Tract 17.09, Durham County, North Carolina"
"294","86","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","12","19","0","12","13","22","28","34","0","12","81","49","56","49","48","56","27","24","29","39","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630017093","Block Group 3, Census Tract 17.09, Durham County, North Carolina"
"816","108","8","13","0","12","0","12","0","12","0","12","0","12","0","12","0","12","2","3","0","12","12","18","38","29","18","20","135","65","180","72","229","96","113","77","17","26","38","36","18","26","8","16","0","12","0","12","0","12","0","12","0","12","1500000US370630017101","Block Group 1, Census Tract 17.10, Durham County, North Carolina"
"221","56","6","11","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","15","0","12","0","12","0","12","54","44","90","34","36","35","20","26","5","9","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630017102","Block Group 2, Census Tract 17.10, Durham County, North Carolina"
"180","53","7","12","0","12","8","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8","12","0","12","18","21","83","49","42","40","14","18","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630017111","Block Group 1, Census Tract 17.11, Durham County, North Carolina"
"45","29","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","28","25","9","13","0","12","8","14","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630017112","Block Group 2, Census Tract 17.11, Durham County, North Carolina"
"186","63","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","14","18","19","19","20","53","31","60","37","18","25","0","12","0","12","9","13","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630017113","Block Group 3, Census Tract 17.11, Durham County, North Carolina"
"587","140","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","19","30","0","12","16","30","0","12","55","53","221","114","179","119","84","48","4","12","0","12","0","12","9","15","0","12","0","12","0","12","0","12","0","12","1500000US370630018011","Block Group 1, Census Tract 18.01, Durham County, North Carolina"
"160","87","0","12","10","17","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","26","0","12","0","12","28","45","92","70","0","12","0","12","0","12","0","12","0","12","15","24","0","12","0","12","0","12","0","12","0","12","1500000US370630018012","Block Group 2, Census Tract 18.01, Durham County, North Carolina"
"953","237","0","12","20","32","0","12","0","12","14","24","0","12","0","12","0","12","0","12","23","39","60","93","66","62","100","77","294","188","139","90","101","87","62","67","52","51","12","19","10","16","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630018013","Block Group 3, Census Tract 18.01, Durham County, North Carolina"
