"B25075_001E","B25075_001M","B25075_002E","B25075_002M","B25075_003E","B25075_003M","B25075_004E","B25075_004M","B25075_005E","B25075_005M","B25075_006E","B25075_006M","B25075_007E","B25075_007M","B25075_008E","B25075_008M","B25075_009E","B25075_009M","B25075_010E","B25075_010M","B25075_011E","B25075_011M","B25075_012E","B25075_012M","B25075_013E","B25075_013M","B25075_014E","B25075_014M","B25075_015E","B25075_015M","B25075_016E","B25075_016M","B25075_017E","B25075_017M","B25075_018E","B25075_018M","B25075_019E","B25075_019M","B25075_020E","B25075_020M","B25075_021E","B25075_021M","B25075_022E","B25075_022M","B25075_023E","B25075_023M","B25075_024E","B25075_024M","B25075_025E","B25075_025M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $49,999","Margin of Error!!Total!!$40,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $69,999","Margin of Error!!Total!!$60,000 to $69,999","Estimate!!Total!!$70,000 to $79,999","Margin of Error!!Total!!$70,000 to $79,999","Estimate!!Total!!$80,000 to $89,999","Margin of Error!!Total!!$80,000 to $89,999","Estimate!!Total!!$90,000 to $99,999","Margin of Error!!Total!!$90,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $174,999","Margin of Error!!Total!!$150,000 to $174,999","Estimate!!Total!!$175,000 to $199,999","Margin of Error!!Total!!$175,000 to $199,999","Estimate!!Total!!$200,000 to $249,999","Margin of Error!!Total!!$200,000 to $249,999","Estimate!!Total!!$250,000 to $299,999","Margin of Error!!Total!!$250,000 to $299,999","Estimate!!Total!!$300,000 to $399,999","Margin of Error!!Total!!$300,000 to $399,999","Estimate!!Total!!$400,000 to $499,999","Margin of Error!!Total!!$400,000 to $499,999","Estimate!!Total!!$500,000 to $749,999","Margin of Error!!Total!!$500,000 to $749,999","Estimate!!Total!!$750,000 to $999,999","Margin of Error!!Total!!$750,000 to $999,999","Estimate!!Total!!$1,000,000 or more","Margin of Error!!Total!!$1,000,000 or more","id","Geographic Area Name"
"695","143","0","12","0","12","32","49","0","12","13","24","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","23","20","86","90","226","117","72","55","116","53","75","57","52","50","0","12","0","12","0","12","0","12","1500000US370630020252","Block Group 2, Census Tract 20.25, Durham County, North Carolina"
"482","124","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","36","31","169","112","112","58","137","103","28","46","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630020253","Block Group 3, Census Tract 20.25, Durham County, North Carolina"
"555","144","0","12","39","35","0","12","0","12","12","20","0","12","0","12","0","12","12","21","0","12","4","15","60","60","14","24","158","96","37","34","136","69","26","38","40","40","0","12","17","28","0","12","0","12","0","12","0","12","1500000US370630020261","Block Group 1, Census Tract 20.26, Durham County, North Carolina"
"604","149","17","29","28","45","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","37","57","17","25","77","68","112","83","174","95","30","33","39","37","57","63","0","12","0","12","16","24","0","12","0","12","1500000US370630020262","Block Group 2, Census Tract 20.26, Durham County, North Carolina"
"555","154","0","12","36","59","71","63","0","12","0","12","0","12","0","12","0","12","0","12","0","12","34","40","12","19","10","17","102","89","71","53","41","44","18","33","140","105","20","29","0","12","0","12","0","12","0","12","0","12","1500000US370630020271","Block Group 1, Census Tract 20.27, Durham County, North Carolina"
"676","142","17","28","0","12","0","12","13","20","12","20","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","85","74","132","80","121","77","157","87","75","79","64","58","0","12","0","12","0","12","0","12","1500000US370630020272","Block Group 2, Census Tract 20.27, Durham County, North Carolina"
"11","18","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","18","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630020273","Block Group 3, Census Tract 20.27, Durham County, North Carolina"
"848","151","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","18","0","12","0","12","0","12","0","12","0","12","174","99","261","115","175","98","164","102","43","33","20","36","0","12","0","12","0","12","0","12","1500000US370630020281","Block Group 1, Census Tract 20.28, Durham County, North Carolina"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630020282","Block Group 2, Census Tract 20.28, Durham County, North Carolina"
"424","149","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","117","77","148","102","0","12","144","85","15","21","0","12","0","12","0","12","0","12","0","12","1500000US370630020283","Block Group 3, Census Tract 20.28, Durham County, North Carolina"
"809","100","11","18","0","12","10","16","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","22","0","12","0","12","14","21","0","12","38","61","41","40","46","42","173","91","77","65","133","74","164","75","19","30","68","53","1500000US370630021001","Block Group 1, Census Tract 21, Durham County, North Carolina"
"742","126","0","17","20","30","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","21","24","0","17","10","17","147","88","32","38","39","33","62","45","52","47","148","90","123","79","40","43","48","33","0","17","0","17","1500000US370630021002","Block Group 2, Census Tract 21, Durham County, North Carolina"
"600","115","0","12","0","12","8","14","0","12","7","12","0","12","0","12","0","12","0","12","14","24","29","34","0","12","18","29","16","25","16","26","127","84","59","49","55","37","80","50","42","40","32","31","52","47","20","32","25","29","1500000US370630021003","Block Group 3, Census Tract 21, Durham County, North Carolina"
"235","49","0","12","0","12","0","12","0","12","0","12","0","12","0","12","6","8","0","12","0","12","10","10","0","12","9","15","14","23","0","12","10","11","4","7","54","25","45","28","43","22","15","15","25","17","0","12","0","12","1500000US370630022001","Block Group 1, Census Tract 22, Durham County, North Carolina"
"21","15","0","12","7","10","0","12","0","12","0","12","0","12","5","7","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","5","7","0","12","4","7","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630023001","Block Group 1, Census Tract 23, Durham County, North Carolina"
"1","4","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1","4","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630023002","Block Group 2, Census Tract 23, Durham County, North Carolina"
"25","40","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","25","40","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370639801001","Block Group 1, Census Tract 9801, Durham County, North Carolina"
