"B25075_001E","B25075_001M","B25075_002E","B25075_002M","B25075_003E","B25075_003M","B25075_004E","B25075_004M","B25075_005E","B25075_005M","B25075_006E","B25075_006M","B25075_007E","B25075_007M","B25075_008E","B25075_008M","B25075_009E","B25075_009M","B25075_010E","B25075_010M","B25075_011E","B25075_011M","B25075_012E","B25075_012M","B25075_013E","B25075_013M","B25075_014E","B25075_014M","B25075_015E","B25075_015M","B25075_016E","B25075_016M","B25075_017E","B25075_017M","B25075_018E","B25075_018M","B25075_019E","B25075_019M","B25075_020E","B25075_020M","B25075_021E","B25075_021M","B25075_022E","B25075_022M","B25075_023E","B25075_023M","B25075_024E","B25075_024M","B25075_025E","B25075_025M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $49,999","Margin of Error!!Total!!$40,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $69,999","Margin of Error!!Total!!$60,000 to $69,999","Estimate!!Total!!$70,000 to $79,999","Margin of Error!!Total!!$70,000 to $79,999","Estimate!!Total!!$80,000 to $89,999","Margin of Error!!Total!!$80,000 to $89,999","Estimate!!Total!!$90,000 to $99,999","Margin of Error!!Total!!$90,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $174,999","Margin of Error!!Total!!$150,000 to $174,999","Estimate!!Total!!$175,000 to $199,999","Margin of Error!!Total!!$175,000 to $199,999","Estimate!!Total!!$200,000 to $249,999","Margin of Error!!Total!!$200,000 to $249,999","Estimate!!Total!!$250,000 to $299,999","Margin of Error!!Total!!$250,000 to $299,999","Estimate!!Total!!$300,000 to $399,999","Margin of Error!!Total!!$300,000 to $399,999","Estimate!!Total!!$400,000 to $499,999","Margin of Error!!Total!!$400,000 to $499,999","Estimate!!Total!!$500,000 to $749,999","Margin of Error!!Total!!$500,000 to $749,999","Estimate!!Total!!$750,000 to $999,999","Margin of Error!!Total!!$750,000 to $999,999","Estimate!!Total!!$1,000,000 or more","Margin of Error!!Total!!$1,000,000 or more","id","Geographic Area Name"
"300","80","7","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","22","0","12","49","46","13","21","84","54","20","31","59","43","41","30","14","25","0","12","0","12","1500000US370630006002","Block Group 2, Census Tract 6, Durham County, North Carolina"
"178","67","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","18","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","14","22","13","21","99","72","29","32","14","24","0","12","0","12","1500000US370630006003","Block Group 3, Census Tract 6, Durham County, North Carolina"
"111","46","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8","13","0","12","7","11","17","18","13","21","12","19","15","15","8","11","6","10","25","24","1500000US370630007001","Block Group 1, Census Tract 7, Durham County, North Carolina"
"292","52","0","12","0","12","0","12","0","12","0","12","0","12","0","12","6","10","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","31","31","38","30","37","28","92","45","32","30","27","25","29","34","0","12","1500000US370630007002","Block Group 2, Census Tract 7, Durham County, North Carolina"
"308","63","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","16","6","9","0","12","11","18","0","12","0","12","54","40","22","21","57","31","42","35","35","23","31","28","39","31","0","12","0","12","1500000US370630007003","Block Group 3, Census Tract 7, Durham County, North Carolina"
"39","22","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","10","0","12","0","12","9","14","16","17","0","12","5","7","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630009001","Block Group 1, Census Tract 9, Durham County, North Carolina"
"128","39","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","29","26","41","26","9","12","24","22","0","12","12","17","0","12","0","12","9","11","0","12","0","12","0","12","0","12","0","12","0","12","4","7","1500000US370630009002","Block Group 2, Census Tract 9, Durham County, North Carolina"
"78","53","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","22","0","12","0","12","25","37","9","14","8","13","21","35","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630010011","Block Group 1, Census Tract 10.01, Durham County, North Carolina"
"96","66","0","12","0","12","0","12","0","12","7","15","0","12","0","12","7","13","9","15","0","12","0","12","25","36","26","39","9","14","0","12","13","21","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630010012","Block Group 2, Census Tract 10.01, Durham County, North Carolina"
"189","71","15","23","0","12","13","20","0","12","0","12","0","12","0","12","11","18","41","46","27","45","8","16","15","24","0","12","43","57","5","11","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","17","0","12","1500000US370630010013","Block Group 3, Census Tract 10.01, Durham County, North Carolina"
"230","119","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","115","103","0","12","31","37","39","38","28","28","17","27","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630010021","Block Group 1, Census Tract 10.02, Durham County, North Carolina"
"135","88","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","22","35","0","12","0","12","86","77","4","19","23","36","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630010022","Block Group 2, Census Tract 10.02, Durham County, North Carolina"
"93","67","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","44","53","0","12","10","15","0","12","24","46","15","26","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630010023","Block Group 3, Census Tract 10.02, Durham County, North Carolina"
"74","66","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","32","50","0","12","33","56","9","18","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630010024","Block Group 4, Census Tract 10.02, Durham County, North Carolina"
"103","51","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","24","37","0","12","24","26","12","18","14","23","0","12","0","12","11","17","13","16","0","12","5","9","0","12","0","12","0","12","0","12","1500000US370630011001","Block Group 1, Census Tract 11, Durham County, North Carolina"
"110","55","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8","14","14","22","14","24","11","14","0","12","29","43","23","28","11","17","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630011002","Block Group 2, Census Tract 11, Durham County, North Carolina"
"127","44","0","12","5","7","0","12","0","12","0","12","0","12","8","14","0","12","5","9","18","19","4","7","10","14","16","18","45","26","6","8","6","9","0","12","4","8","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630013011","Block Group 1, Census Tract 13.01, Durham County, North Carolina"
"158","53","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","17","17","30","21","40","39","19","19","23","26","0","12","24","24","0","12","0","12","5","8","0","12","0","12","0","12","0","12","1500000US370630013031","Block Group 1, Census Tract 13.03, Durham County, North Carolina"
"123","33","8","12","0","12","5","10","0","12","0","12","0","12","0","12","0","12","9","11","12","12","0","12","19","18","8","12","24","21","16","17","12","13","0","12","6","10","4","6","0","12","0","12","0","12","0","12","0","12","1500000US370630013032","Block Group 2, Census Tract 13.03, Durham County, North Carolina"
"311","70","0","12","0","12","0","12","0","12","0","12","16","23","0","12","0","12","14","15","13","16","37","31","16","18","0","12","75","41","65","51","47","29","0","12","20","29","0","12","0","12","8","12","0","12","0","12","0","12","1500000US370630013041","Block Group 1, Census Tract 13.04, Durham County, North Carolina"
"82","35","0","12","7","12","0","12","0","12","0","12","0","12","0","12","9","17","0","12","10","14","14","15","7","11","5","9","17","19","0","12","13","20","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630014001","Block Group 1, Census Tract 14, Durham County, North Carolina"
"111","52","0","12","0","12","0","12","0","12","0","12","0","12","11","17","26","34","18","21","0","12","24","23","0","12","0","12","22","35","0","12","0","12","0","12","0","12","0","12","0","12","10","14","0","12","0","12","0","12","1500000US370630014002","Block Group 2, Census Tract 14, Durham County, North Carolina"
"4","6","4","6","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630015011","Block Group 1, Census Tract 15.01, Durham County, North Carolina"
"61","52","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","34","47","14","27","0","12","0","12","13","22","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630015021","Block Group 1, Census Tract 15.02, Durham County, North Carolina"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630015022","Block Group 2, Census Tract 15.02, Durham County, North Carolina"
"7","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","7","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630015023","Block Group 3, Census Tract 15.02, Durham County, North Carolina"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630015024","Block Group 4, Census Tract 15.02, Durham County, North Carolina"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630015031","Block Group 1, Census Tract 15.03, Durham County, North Carolina"
"415","80","0","12","0","12","0","12","0","12","15","23","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","18","25","28","57","39","61","45","21","27","85","71","56","57","54","40","23","38","0","12","0","12","7","11","1500000US370630016011","Block Group 1, Census Tract 16.01, Durham County, North Carolina"
"1081","136","20","27","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","22","34","0","12","0","12","39","41","177","94","350","131","133","66","196","80","88","63","56","44","0","12","0","12","0","12","0","12","1500000US370630016012","Block Group 2, Census Tract 16.01, Durham County, North Carolina"
"462","87","28","41","0","12","0","12","0","12","0","12","15","24","0","12","0","12","0","12","0","12","0","12","0","12","32","36","0","12","93","60","165","73","64","49","33","36","16","25","16","28","0","12","0","12","0","12","0","12","1500000US370630016013","Block Group 3, Census Tract 16.01, Durham County, North Carolina"
"209","68","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","33","38","79","49","25","38","22","33","14","22","20","31","16","25","0","12","0","12","0","12","0","12","1500000US370630016031","Block Group 1, Census Tract 16.03, Durham County, North Carolina"
"1119","122","19","31","0","12","8","14","12","19","0","12","0","12","12","20","0","12","0","12","0","12","52","83","0","12","17","27","81","84","161","67","92","57","212","111","261","125","134","67","49","45","0","12","0","12","9","14","0","12","1500000US370630016032","Block Group 2, Census Tract 16.03, Durham County, North Carolina"
"389","99","0","12","0","12","17","28","0","12","0","12","0","12","0","12","0","12","24","28","0","12","0","12","0","12","15","25","35","36","45","29","190","88","27","31","11","18","0","12","0","12","0","12","0","12","11","17","14","22","1500000US370630016033","Block Group 3, Census Tract 16.03, Durham County, North Carolina"
"545","84","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","18","29","0","12","41","38","13","20","70","45","113","74","54","45","63","58","113","54","21","24","26","30","13","20","0","12","1500000US370630016034","Block Group 4, Census Tract 16.03, Durham County, North Carolina"
"659","105","11","20","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","38","39","89","52","97","61","172","82","143","68","95","54","14","22","0","12","0","12","0","12","0","12","1500000US370630016041","Block Group 1, Census Tract 16.04, Durham County, North Carolina"
"1065","107","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","51","41","0","12","71","56","88","53","409","109","194","90","202","93","34","36","16","26","0","12","0","12","1500000US370630016042","Block Group 2, Census Tract 16.04, Durham County, North Carolina"
"596","117","0","12","0","12","0","12","0","12","36","44","0","12","0","12","0","12","0","12","11","18","0","12","57","48","19","30","11","19","22","36","128","84","29","33","59","66","122","72","80","52","11","20","11","19","0","12","0","12","1500000US370630016043","Block Group 3, Census Tract 16.04, Durham County, North Carolina"
"465","129","0","12","13","20","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","20","25","8","14","222","126","122","73","47","37","24","34","0","12","0","12","0","12","0","12","0","12","9","14","1500000US370630017051","Block Group 1, Census Tract 17.05, Durham County, North Carolina"
"372","147","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","14","21","0","12","0","12","0","12","93","104","67","42","28","33","0","12","0","12","9","15","67","55","58","51","14","22","22","36","1500000US370630017052","Block Group 2, Census Tract 17.05, Durham County, North Carolina"
"277","92","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","18","27","0","12","49","63","0","12","17","27","139","58","14","26","40","46","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630017053","Block Group 3, Census Tract 17.05, Durham County, North Carolina"
"327","80","0","12","0","12","0","12","0","12","0","12","13","21","10","17","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","19","24","30","18","27","101","55","42","38","75","52","33","39","0","12","0","12","0","12","1500000US370630017061","Block Group 1, Census Tract 17.06, Durham County, North Carolina"
"470","92","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","71","48","52","50","87","55","37","44","67","49","30","35","51","45","25","28","50","63","0","12","0","12","0","12","1500000US370630017062","Block Group 2, Census Tract 17.06, Durham County, North Carolina"
"410","91","0","12","0","12","0","12","14","24","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","31","36","42","65","102","59","21","37","79","52","28","33","64","54","17","29","12","22","0","12","0","12","1500000US370630017071","Block Group 1, Census Tract 17.07, Durham County, North Carolina"
"691","128","0","12","0","12","11","19","0","12","0","12","0","12","0","12","0","12","21","32","16","25","0","12","0","12","13","20","58","44","126","80","103","73","62","49","159","98","74","59","30","34","0","12","0","12","0","12","18","28","1500000US370630017072","Block Group 2, Census Tract 17.07, Durham County, North Carolina"
"220","56","13","22","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","23","0","12","0","12","16","23","71","62","41","28","64","38","0","12","0","12","0","12","0","12","1500000US370630017073","Block Group 3, Census Tract 17.07, Durham County, North Carolina"
"613","127","0","12","0","12","16","26","0","12","0","12","0","12","0","12","13","22","0","12","0","12","0","12","0","12","0","12","60","49","18","29","78","47","77","56","129","92","42","41","114","78","66","57","0","12","0","12","0","12","1500000US370630017074","Block Group 4, Census Tract 17.07, Durham County, North Carolina"
"304","89","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","30","35","0","12","0","12","14","24","15","24","15","24","8","14","0","12","0","12","0","12","0","12","66","48","67","52","46","35","43","38","1500000US370630017075","Block Group 5, Census Tract 17.07, Durham County, North Carolina"
"1138","143","0","12","10","16","0","12","0","12","0","12","0","12","0","12","11","17","0","12","9","14","0","12","60","50","36","31","195","72","218","95","291","106","206","83","72","47","14","16","0","12","0","12","6","13","0","12","10","16","1500000US370630017081","Block Group 1, Census Tract 17.08, Durham County, North Carolina"
"143","87","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","58","57","0","12","0","12","85","70","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630017091","Block Group 1, Census Tract 17.09, Durham County, North Carolina"
"108","96","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","62","59","0","12","0","12","0","12","0","12","0","12","46","74","0","12","0","12","0","12","0","12","1500000US370630017092","Block Group 2, Census Tract 17.09, Durham County, North Carolina"
"395","138","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","16","28","35","41","25","40","114","76","53","63","50","48","67","52","0","12","0","12","0","12","35","55","0","12","0","12","0","12","1500000US370630017093","Block Group 3, Census Tract 17.09, Durham County, North Carolina"
"816","105","9","14","0","12","11","16","0","12","0","12","0","12","0","12","0","12","0","12","0","12","7","12","31","26","15","17","126","57","190","63","224","80","145","101","28","28","30","29","0","12","0","12","0","12","0","12","0","12","1500000US370630017101","Block Group 1, Census Tract 17.10, Durham County, North Carolina"
"175","50","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","29","31","0","12","0","12","0","12","52","36","68","38","7","12","16","18","3","5","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630017102","Block Group 2, Census Tract 17.10, Durham County, North Carolina"
"170","61","0","12","0","12","6","9","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","23","27","67","52","65","42","9","16","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630017111","Block Group 1, Census Tract 17.11, Durham County, North Carolina"
"42","28","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","20","21","8","12","0","12","0","12","0","12","14","24","0","12","0","12","0","12","0","12","0","12","1500000US370630017112","Block Group 2, Census Tract 17.11, Durham County, North Carolina"
"123","46","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","12","18","19","21","25","22","60","47","7","11","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630017113","Block Group 3, Census Tract 17.11, Durham County, North Carolina"
"741","187","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","28","44","0","12","0","12","0","12","105","72","207","96","233","148","113","74","42","57","0","12","0","12","13","20","0","12","0","12","0","12","1500000US370630018011","Block Group 1, Census Tract 18.01, Durham County, North Carolina"
"103","55","0","12","14","22","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","30","34","0","12","0","12","0","12","33","37","13","22","0","12","0","12","0","12","0","12","13","22","0","12","0","12","0","12","1500000US370630018012","Block Group 2, Census Tract 18.01, Durham County, North Carolina"
"842","182","0","12","15","27","0","12","0","12","11","18","0","12","0","12","0","12","0","12","17","25","92","107","37","42","13","25","278","156","124","70","100","81","93","83","11","19","44","44","7","12","0","12","0","12","0","12","0","12","1500000US370630018013","Block Group 3, Census Tract 18.01, Durham County, North Carolina"
"262","93","0","12","0","12","46","71","0","12","0","12","0","12","12","19","0","12","0","12","0","12","14","21","19","31","12","20","84","53","13","22","34","38","0","12","17","29","0","12","0","12","0","12","11","17","0","12","0","12","1500000US370630018014","Block Group 4, Census Tract 18.01, Durham County, North Carolina"
"177","66","0","12","0","12","0","12","19","31","0","12","0","12","0","12","0","12","0","12","0","12","0","12","12","20","18","30","7","13","0","12","59","51","30","34","0","12","21","35","0","12","0","12","0","12","0","12","11","17","1500000US370630018015","Block Group 5, Census Tract 18.01, Durham County, North Carolina"
"527","154","0","12","11","16","0","12","0","12","0","12","0","12","0","12","10","18","24","37","14","22","33","50","72","97","0","12","97","70","121","80","97","82","14","24","34","56","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630018021","Block Group 1, Census Tract 18.02, Durham County, North Carolina"
"357","109","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","17","29","26","42","11","17","23","30","0","12","64","62","116","73","52","56","0","12","11","19","37","56","0","12","0","12","0","12","0","12","0","12","1500000US370630018022","Block Group 2, Census Tract 18.02, Durham County, North Carolina"
"545","147","18","30","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","22","28","30","41","57","52","78","47","57","181","99","46","37","87","59","32","41","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630018023","Block Group 3, Census Tract 18.02, Durham County, North Carolina"
"151","54","0","12","0","12","0","12","0","12","0","12","0","12","0","12","21","31","0","12","0","12","55","49","12","18","15","24","13","21","0","12","35","49","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630018024","Block Group 4, Census Tract 18.02, Durham County, North Carolina"
"720","142","42","49","0","12","0","12","13","22","0","12","32","34","0","12","0","12","0","12","0","12","36","44","50","46","13","22","78","47","69","58","229","103","37","47","29","37","20","32","61","79","11","19","0","12","0","12","0","12","1500000US370630018061","Block Group 1, Census Tract 18.06, Durham County, North Carolina"
"1144","178","0","12","14","26","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","24","36","0","12","79","70","304","141","395","154","193","107","116","66","19","32","0","12","0","12","0","12","0","12","0","12","1500000US370630018062","Block Group 2, Census Tract 18.06, Durham County, North Carolina"
"848","178","109","89","31","49","48","56","43","33","0","12","0","12","0","12","35","54","0","12","28","32","13","21","26","31","24","37","121","86","170","97","117","90","48","29","15","24","0","12","0","12","0","12","20","30","0","12","0","12","1500000US370630018071","Block Group 1, Census Tract 18.07, Durham County, North Carolina"
"956","172","49","62","51","66","12","21","0","12","0","12","0","12","0","12","0","12","0","12","13","20","11","18","0","12","0","12","87","59","271","138","206","101","114","70","104","65","38","41","0","12","0","12","0","12","0","12","0","12","1500000US370630018072","Block Group 2, Census Tract 18.07, Durham County, North Carolina"
"862","162","0","12","17","27","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","57","91","0","12","53","60","200","112","256","124","222","124","33","30","11","18","0","12","13","21","0","12","0","12","0","12","0","12","1500000US370630018073","Block Group 3, Census Tract 18.07, Durham County, North Carolina"
"715","133","16","20","0","12","0","12","0","12","0","12","0","12","0","12","11","18","0","12","0","12","0","12","47","72","0","12","32","49","40","39","91","53","147","81","308","114","11","23","12","19","0","12","0","12","0","12","0","12","1500000US370630018081","Block Group 1, Census Tract 18.08, Durham County, North Carolina"
"1273","184","0","12","0","12","12","21","0","12","0","12","0","12","0","12","0","12","0","12","0","12","18","26","0","12","0","12","46","40","61","46","92","65","94","68","375","136","236","119","288","121","45","39","6","12","0","12","0","12","1500000US370630018082","Block Group 2, Census Tract 18.08, Durham County, North Carolina"
"303","71","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","60","52","70","41","63","54","33","49","56","57","9","15","12","20","0","12","0","12","0","12","0","12","1500000US370630018091","Block Group 1, Census Tract 18.09, Durham County, North Carolina"
"751","149","17","27","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","33","38","30","35","83","64","98","69","347","136","33","32","110","95","0","12","0","12","0","12","0","12","1500000US370630018092","Block Group 2, Census Tract 18.09, Durham County, North Carolina"
"198","44","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8","13","0","12","7","11","0","12","16","17","35","31","32","32","20","22","25","16","26","26","21","22","8","12","0","12","0","12","1500000US370630019001","Block Group 1, Census Tract 19, Durham County, North Carolina"
"856","83","0","12","0","12","0","12","0","12","17","19","0","12","0","12","10","16","0","12","0","12","6","9","0","12","19","21","28","20","21","24","201","60","213","78","183","71","31","30","64","31","46","30","0","12","17","18","0","12","1500000US370630019002","Block Group 2, Census Tract 19, Durham County, North Carolina"
"725","119","38","59","0","12","0","12","0","12","0","12","0","12","0","12","0","12","19","29","0","12","15","26","23","30","22","24","20","33","45","49","81","71","71","56","185","91","119","79","87","63","0","12","0","12","0","12","0","12","1500000US370630020071","Block Group 1, Census Tract 20.07, Durham County, North Carolina"
"712","103","0","12","0","12","0","12","0","12","31","50","0","12","0","12","0","12","0","12","0","12","0","12","37","52","0","12","92","78","131","80","45","64","73","54","112","82","73","44","16","21","8","14","56","54","19","18","19","24","1500000US370630020072","Block Group 2, Census Tract 20.07, Durham County, North Carolina"
"388","90","16","25","0","12","0","12","0","12","0","12","0","12","0","12","0","12","12","20","0","12","0","12","0","12","0","12","0","12","17","28","18","30","0","12","43","39","96","72","74","50","27","40","85","89","0","12","0","12","1500000US370630020073","Block Group 3, Census Tract 20.07, Durham County, North Carolina"
"320","61","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","17","0","12","17","18","16","19","67","38","34","26","60","41","40","27","76","38","1500000US370630020081","Block Group 1, Census Tract 20.08, Durham County, North Carolina"
"848","69","0","12","19","30","0","12","0","12","7","11","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8","13","57","56","38","39","78","40","172","54","56","32","55","31","183","62","119","51","56","44","1500000US370630020082","Block Group 2, Census Tract 20.08, Durham County, North Carolina"
"426","101","8","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","37","48","32","27","0","12","54","42","40","34","121","79","88","46","18","26","0","12","28","26","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630020091","Block Group 1, Census Tract 20.09, Durham County, North Carolina"
"332","64","0","12","0","12","27","31","0","12","0","12","0","12","0","12","0","12","25","32","0","12","8","13","16","18","26","24","106","55","16","21","26","22","17","19","8","12","20","31","13","19","0","12","11","16","13","21","0","12","1500000US370630020092","Block Group 2, Census Tract 20.09, Durham County, North Carolina"
"476","102","0","12","0","12","0","12","0","12","0","12","0","12","6","10","0","12","0","12","30","27","9","15","33","33","109","66","97","62","66","48","83","53","18","29","18","21","7","10","0","12","0","12","0","12","0","12","0","12","1500000US370630020093","Block Group 3, Census Tract 20.09, Durham County, North Carolina"
"498","76","0","12","10","16","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","12","18","0","12","12","19","110","51","83","38","83","44","50","36","58","51","19","16","42","35","0","12","9","14","10","15","0","12","1500000US370630020131","Block Group 1, Census Tract 20.13, Durham County, North Carolina"
"269","62","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","15","64","35","83","46","70","33","21","23","0","12","11","16","0","12","0","12","11","18","0","12","0","12","1500000US370630020132","Block Group 2, Census Tract 20.13, Durham County, North Carolina"
"742","83","13","19","11","17","0","12","0","12","0","12","0","12","0","12","0","12","0","12","12","20","0","12","0","12","0","12","18","22","127","61","123","52","113","59","242","67","70","40","13","19","0","12","0","12","0","12","0","12","1500000US370630020133","Block Group 3, Census Tract 20.13, Durham County, North Carolina"
"282","104","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","6","15","0","12","14","23","0","12","147","78","26","35","54","55","22","21","0","12","0","12","13","21","0","12","0","12","1500000US370630020151","Block Group 1, Census Tract 20.15, Durham County, North Carolina"
"215","115","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","21","105","89","30","34","0","12","0","12","0","12","50","42","0","12","17","27","0","12","1500000US370630020152","Block Group 2, Census Tract 20.15, Durham County, North Carolina"
