"B25075_001E","B25075_001M","B25075_002E","B25075_002M","B25075_003E","B25075_003M","B25075_004E","B25075_004M","B25075_005E","B25075_005M","B25075_006E","B25075_006M","B25075_007E","B25075_007M","B25075_008E","B25075_008M","B25075_009E","B25075_009M","B25075_010E","B25075_010M","B25075_011E","B25075_011M","B25075_012E","B25075_012M","B25075_013E","B25075_013M","B25075_014E","B25075_014M","B25075_015E","B25075_015M","B25075_016E","B25075_016M","B25075_017E","B25075_017M","B25075_018E","B25075_018M","B25075_019E","B25075_019M","B25075_020E","B25075_020M","B25075_021E","B25075_021M","B25075_022E","B25075_022M","B25075_023E","B25075_023M","B25075_024E","B25075_024M","B25075_025E","B25075_025M","GEO_ID","NAME"
"74","36","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","18","27","0","12","0","12","0","12","0","12","0","12","8","12","8","13","0","12","5","8","8","13","5","9","22","22","0","12","0","12","0","12","1500000US370630003013","Block Group 3, Census Tract 3.01, Durham County, North Carolina"
"312","80","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","5","9","8","13","6","10","73","64","50","36","71","50","41","36","45","36","3","8","10","16","0","12","0","12","1500000US370630003021","Block Group 1, Census Tract 3.02, Durham County, North Carolina"
"184","56","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","20","25","0","12","16","19","26","31","16","27","6","10","20","24","36","28","44","41","0","12","0","12","1500000US370630003022","Block Group 2, Census Tract 3.02, Durham County, North Carolina"
"207","72","18","21","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","6","10","14","16","11","19","31","37","41","34","63","50","23","22","0","12","1500000US370630003023","Block Group 3, Census Tract 3.02, Durham County, North Carolina"
"250","61","0","12","0","12","10","16","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","17","0","12","0","12","7","11","28","23","51","36","33","31","27","25","46","30","38","32","0","12","0","12","0","12","0","12","1500000US370630004011","Block Group 1, Census Tract 4.01, Durham County, North Carolina"
"368","67","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","24","0","12","0","12","10","15","17","19","0","12","27","21","0","12","74","38","120","53","58","37","37","36","10","15","0","12","0","12","1500000US370630004012","Block Group 2, Census Tract 4.01, Durham County, North Carolina"
"211","59","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","14","0","12","0","12","0","12","14","17","73","45","69","43","20","22","14","23","12","18","0","12","1500000US370630004013","Block Group 3, Census Tract 4.01, Durham County, North Carolina"
"225","58","0","12","0","12","5","11","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","7","12","0","12","33","33","19","19","113","57","8","12","40","33","0","12","0","12","0","12","0","12","1500000US370630004021","Block Group 1, Census Tract 4.02, Durham County, North Carolina"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630005001","Block Group 1, Census Tract 5, Durham County, North Carolina"
"56","33","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","23","24","0","12","15","18","7","10","0","12","11","18","0","12","0","12","0","12","1500000US370630005002","Block Group 2, Census Tract 5, Durham County, North Carolina"
"77","47","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","7","11","0","12","9","15","49","42","9","15","3","7","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630005003","Block Group 3, Census Tract 5, Durham County, North Carolina"
"117","57","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","19","0","12","21","22","0","12","6","10","11","17","0","12","0","12","66","57","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630005004","Block Group 4, Census Tract 5, Durham County, North Carolina"
"392","103","14","21","0","12","0","12","0","12","0","12","0","12","0","12","0","12","12","20","0","12","0","12","14","25","12","21","27","44","48","45","73","56","21","33","30","31","88","66","0","12","22","34","15","23","16","26","0","12","1500000US370630006001","Block Group 1, Census Tract 6, Durham County, North Carolina"
"304","88","8","15","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","18","28","0","12","25","28","0","12","81","57","15","24","109","57","48","36","0","12","0","12","0","12","1500000US370630006002","Block Group 2, Census Tract 6, Durham County, North Carolina"
"137","49","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8","15","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","12","19","14","20","41","34","29","33","33","35","0","12","0","12","1500000US370630006003","Block Group 3, Census Tract 6, Durham County, North Carolina"
"87","43","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","17","0","12","9","14","10","16","0","12","0","12","18","14","11","18","8","12","20","21","1500000US370630007001","Block Group 1, Census Tract 7, Durham County, North Carolina"
"318","57","0","12","0","12","0","12","0","12","0","12","0","12","0","12","6","11","0","12","0","12","0","12","0","12","0","12","0","12","11","19","0","12","38","35","30","28","21","18","104","46","41","33","54","33","13","20","0","12","1500000US370630007002","Block Group 2, Census Tract 7, Durham County, North Carolina"
"315","61","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8","12","8","12","0","12","8","12","10","15","0","12","63","54","26","24","46","29","44","38","37","27","32","27","33","25","0","12","0","12","1500000US370630007003","Block Group 3, Census Tract 7, Durham County, North Carolina"
"29","23","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","5","8","0","12","0","12","10","15","14","16","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630009001","Block Group 1, Census Tract 9, Durham County, North Carolina"
"110","41","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","21","20","36","25","10","14","17","20","0","12","10","16","0","12","0","12","11","16","0","12","0","12","0","12","0","12","0","12","0","12","5","8","1500000US370630009002","Block Group 2, Census Tract 9, Durham County, North Carolina"
"98","51","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","21","31","0","12","0","12","8","22","9","15","22","25","38","44","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630010011","Block Group 1, Census Tract 10.01, Durham County, North Carolina"
"130","74","0","12","0","12","0","12","0","12","15","24","0","12","0","12","7","12","7","14","0","12","74","70","0","12","12","30","6","12","0","12","9","14","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630010012","Block Group 2, Census Tract 10.01, Durham County, North Carolina"
"91","51","14","22","0","12","0","12","0","12","0","12","0","12","0","12","8","13","15","25","25","40","14","21","5","13","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","17","0","12","1500000US370630010013","Block Group 3, Census Tract 10.01, Durham County, North Carolina"
"226","107","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","116","102","0","12","24","37","36","35","31","40","19","33","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630010021","Block Group 1, Census Tract 10.02, Durham County, North Carolina"
"120","83","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","29","48","0","12","0","12","29","46","10","21","31","47","0","12","0","12","0","12","0","12","0","12","0","12","0","12","21","33","0","12","0","12","1500000US370630010022","Block Group 2, Census Tract 10.02, Durham County, North Carolina"
"135","73","12","22","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","47","53","0","12","9","16","9","15","44","64","14","22","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630010023","Block Group 3, Census Tract 10.02, Durham County, North Carolina"
"140","69","0","12","0","12","35","40","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","64","55","0","12","32","44","9","18","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630010024","Block Group 4, Census Tract 10.02, Durham County, North Carolina"
"127","57","15","18","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8","12","29","45","0","12","23","26","11","18","11","18","0","12","0","12","9","15","9","15","0","12","12","18","0","12","0","12","0","12","0","12","1500000US370630011001","Block Group 1, Census Tract 11, Durham County, North Carolina"
"124","50","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","16","18","27","9","14","16","18","11","17","35","49","26","31","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630011002","Block Group 2, Census Tract 11, Durham County, North Carolina"
"119","51","0","12","5","8","12","17","0","12","0","12","0","12","0","12","0","12","15","17","4","7","4","7","16","17","15","18","8","9","0","12","5","8","0","12","5","8","0","12","0","12","19","29","0","12","11","16","0","12","1500000US370630013011","Block Group 1, Census Tract 13.01, Durham County, North Carolina"
"140","59","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","22","20","15","16","38","40","29","27","14","22","0","12","15","18","0","12","0","12","7","10","0","12","0","12","0","12","0","12","1500000US370630013031","Block Group 1, Census Tract 13.03, Durham County, North Carolina"
"139","43","5","8","0","12","5","8","0","12","0","12","0","12","0","12","0","12","10","11","23","24","0","12","22","23","5","8","24","27","12","13","10","12","0","12","18","23","5","8","0","12","0","12","0","12","0","12","0","12","1500000US370630013032","Block Group 2, Census Tract 13.03, Durham County, North Carolina"
"323","74","0","12","0","12","0","12","0","12","0","12","11","17","0","12","0","12","14","14","33","31","31","34","15","15","15","21","79","52","58","42","49","24","0","12","11","18","0","12","0","12","7","11","0","12","0","12","0","12","1500000US370630013041","Block Group 1, Census Tract 13.04, Durham County, North Carolina"
"76","39","0","12","8","14","0","12","0","12","0","12","0","12","0","12","5","9","0","12","10","18","0","12","5","12","0","12","13","16","0","12","25","23","0","12","0","12","0","12","10","15","0","12","0","12","0","12","0","12","1500000US370630014001","Block Group 1, Census Tract 14, Durham County, North Carolina"
"222","104","0","12","0","12","0","12","0","12","0","12","0","12","11","19","33","41","19","21","0","12","56","43","45","63","0","12","30","40","18","28","0","12","0","12","0","12","0","12","0","12","10","16","0","12","0","12","0","12","1500000US370630014002","Block Group 2, Census Tract 14, Durham County, North Carolina"
"4","6","4","6","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630015011","Block Group 1, Census Tract 15.01, Durham County, North Carolina"
"48","48","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","34","45","0","12","0","12","0","12","14","23","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630015021","Block Group 1, Census Tract 15.02, Durham County, North Carolina"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630015022","Block Group 2, Census Tract 15.02, Durham County, North Carolina"
"13","22","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","22","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630015023","Block Group 3, Census Tract 15.02, Durham County, North Carolina"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630015024","Block Group 4, Census Tract 15.02, Durham County, North Carolina"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630015031","Block Group 1, Census Tract 15.03, Durham County, North Carolina"
"380","72","0","12","0","12","0","12","0","12","14","22","0","12","0","12","0","12","0","12","0","12","0","12","0","12","12","19","41","39","54","40","57","42","16","24","14","22","51","57","83","56","31","39","0","12","0","12","7","11","1500000US370630016011","Block Group 1, Census Tract 16.01, Durham County, North Carolina"
"1106","162","18","29","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","12","19","0","12","37","42","160","108","410","156","157","64","182","79","63","44","67","54","0","12","0","12","0","12","0","12","1500000US370630016012","Block Group 2, Census Tract 16.01, Durham County, North Carolina"
"435","91","28","43","0","12","0","12","0","12","0","12","14","22","0","12","0","12","0","12","0","12","17","27","0","12","29","33","0","12","62","48","164","63","55","50","14","23","31","35","21","29","0","12","0","12","0","12","0","12","1500000US370630016013","Block Group 3, Census Tract 16.01, Durham County, North Carolina"
"185","54","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","14","23","17","28","64","42","0","12","27","34","29","35","19","30","15","25","0","12","0","12","0","12","0","12","1500000US370630016031","Block Group 1, Census Tract 16.03, Durham County, North Carolina"
"1087","141","17","27","0","12","8","14","12","20","0","12","0","12","12","20","0","12","0","12","0","12","56","88","0","12","17","28","77","78","159","73","89","52","130","64","266","137","145","80","89","71","0","12","0","12","10","15","0","12","1500000US370630016032","Block Group 2, Census Tract 16.03, Durham County, North Carolina"
"429","99","0","12","0","12","17","27","0","12","0","12","0","12","0","12","0","12","27","30","0","12","0","12","0","12","18","28","31","34","29","33","175","104","70","52","12","20","0","12","0","12","25","29","0","12","11","18","14","23","1500000US370630016033","Block Group 3, Census Tract 16.03, Durham County, North Carolina"
"598","99","0","12","0","12","0","12","0","12","0","12","0","12","21","31","0","12","0","12","0","12","0","12","17","28","0","12","25","28","13","20","126","61","129","78","14","22","87","70","103","51","24","29","26","29","13","19","0","12","1500000US370630016034","Block Group 4, Census Tract 16.03, Durham County, North Carolina"
"721","91","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","33","35","95","62","123","68","161","69","159","76","120","58","30","34","0","12","0","12","0","12","0","12","1500000US370630016041","Block Group 1, Census Tract 16.04, Durham County, North Carolina"
"1049","137","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","47","44","0","12","87","63","84","57","373","106","199","89","244","88","0","12","15","24","0","12","0","12","1500000US370630016042","Block Group 2, Census Tract 16.04, Durham County, North Carolina"
"580","117","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","24","0","12","17","25","0","12","32","38","14","24","11","17","0","12","120","71","22","25","57","70","189","79","83","56","8","14","12","21","0","12","0","12","1500000US370630016043","Block Group 3, Census Tract 16.04, Durham County, North Carolina"
"579","140","0","12","38","44","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","16","28","24","30","17","27","255","133","109","55","54","42","54","66","0","12","0","12","0","12","0","12","0","12","12","20","1500000US370630017051","Block Group 1, Census Tract 17.05, Durham County, North Carolina"
"321","111","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","17","27","0","12","0","12","0","12","74","92","56","38","41","32","0","12","0","12","14","22","46","36","23","28","35","37","15","26","1500000US370630017052","Block Group 2, Census Tract 17.05, Durham County, North Carolina"
"267","121","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","24","0","12","43","64","0","12","27","30","112","76","20","33","50","59","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630017053","Block Group 3, Census Tract 17.05, Durham County, North Carolina"
"339","91","0","12","0","12","0","12","0","12","0","12","0","12","12","20","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","26","26","34","37","85","55","76","50","74","55","32","29","0","12","0","12","0","12","1500000US370630017061","Block Group 1, Census Tract 17.06, Durham County, North Carolina"
"536","88","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","17","29","69","54","56","46","114","64","0","12","73","46","55","43","73","45","31","33","48","60","0","12","0","12","0","12","1500000US370630017062","Block Group 2, Census Tract 17.06, Durham County, North Carolina"
"372","80","0","12","0","12","0","12","18","29","0","12","0","12","0","12","0","12","0","12","0","12","14","22","0","12","0","12","37","40","0","12","94","53","36","41","59","48","29","32","49","45","21","36","15","24","0","12","0","12","1500000US370630017071","Block Group 1, Census Tract 17.07, Durham County, North Carolina"
"725","101","0","12","0","12","14","23","0","12","0","12","0","12","0","12","0","12","17","27","16","25","0","12","0","12","15","25","62","44","195","102","97","67","59","42","126","68","80","58","30","33","0","12","0","12","0","12","14","22","1500000US370630017072","Block Group 2, Census Tract 17.07, Durham County, North Carolina"
"246","66","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","19","29","0","12","0","12","13","21","76","60","81","52","57","43","0","12","0","12","0","12","0","12","1500000US370630017073","Block Group 3, Census Tract 17.07, Durham County, North Carolina"
"634","103","0","12","15","24","17","27","0","12","0","12","0","12","0","12","17","26","0","12","0","12","16","26","0","12","0","12","78","53","16","24","88","55","80","52","149","69","37","36","71","59","50","42","0","12","0","12","0","12","1500000US370630017074","Block Group 4, Census Tract 17.07, Durham County, North Carolina"
"312","77","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","16","26","18","29","0","12","0","12","14","23","16","25","12","18","25","24","0","12","0","12","14","23","0","12","55","46","57","46","37","30","48","45","1500000US370630017075","Block Group 5, Census Tract 17.07, Durham County, North Carolina"
"1068","117","0","12","13","21","0","12","0","12","0","12","0","12","0","12","10","15","0","12","8","13","0","12","32","35","34","27","160","64","210","88","303","97","183","80","93","46","0","12","0","12","0","12","12","21","0","12","10","17","1500000US370630017081","Block Group 1, Census Tract 17.08, Durham County, North Carolina"
"231","109","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","90","73","49","55","9","14","83","79","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630017091","Block Group 1, Census Tract 17.09, Durham County, North Carolina"
"75","61","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","20","30","0","12","32","41","0","12","0","12","0","12","0","12","0","12","23","35","0","12","0","12","0","12","0","12","1500000US370630017092","Block Group 2, Census Tract 17.09, Durham County, North Carolina"
"278","100","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","20","26","13","20","78","47","37","35","31","34","45","44","16","25","0","12","0","12","38","62","0","12","0","12","0","12","1500000US370630017093","Block Group 3, Census Tract 17.09, Durham County, North Carolina"
"883","108","9","13","0","12","8","14","0","12","0","12","0","12","0","12","0","12","0","12","0","12","6","10","7","11","8","13","116","52","191","73","304","87","167","96","40","27","27","27","0","12","0","12","0","12","0","12","0","12","1500000US370630017101","Block Group 1, Census Tract 17.10, Durham County, North Carolina"
"141","50","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","14","22","0","12","0","12","0","12","42","30","61","30","8","12","16","17","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630017102","Block Group 2, Census Tract 17.10, Durham County, North Carolina"
"162","57","0","12","0","12","5","8","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","22","25","48","39","70","58","17","23","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630017111","Block Group 1, Census Tract 17.11, Durham County, North Carolina"
"31","28","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","18","0","12","0","12","0","12","16","25","0","12","0","12","0","12","0","12","0","12","1500000US370630017112","Block Group 2, Census Tract 17.11, Durham County, North Carolina"
"140","56","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","13","31","30","26","24","46","33","5","11","0","12","21","31","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630017113","Block Group 3, Census Tract 17.11, Durham County, North Carolina"
"601","156","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","17","26","13","21","0","12","0","12","86","66","206","126","159","101","61","42","47","46","0","12","0","12","12","21","0","12","0","12","0","12","1500000US370630018011","Block Group 1, Census Tract 18.01, Durham County, North Carolina"
"91","50","0","12","15","25","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","18","31","0","12","0","12","0","12","29","34","12","19","0","12","0","12","0","12","0","12","17","27","0","12","0","12","0","12","1500000US370630018012","Block Group 2, Census Tract 18.01, Durham County, North Carolina"
"791","178","0","12","6","13","0","12","0","12","12","20","0","12","0","12","0","12","0","12","0","12","27","31","39","45","17","26","302","147","146","95","74","61","41","66","57","61","57","47","13","20","0","12","0","12","0","12","0","12","1500000US370630018013","Block Group 3, Census Tract 18.01, Durham County, North Carolina"
"265","97","0","12","0","12","54","83","0","12","0","12","0","12","14","22","0","12","0","12","0","12","15","24","0","12","12","21","76","41","48","63","35","33","0","12","0","12","0","12","0","12","0","12","11","17","0","12","0","12","1500000US370630018014","Block Group 4, Census Tract 18.01, Durham County, North Carolina"
"188","70","0","12","0","12","0","12","18","30","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","24","61","68","0","12","43","41","28","32","0","12","0","12","10","16","0","12","0","12","0","12","13","22","1500000US370630018015","Block Group 5, Census Tract 18.01, Durham County, North Carolina"
"497","128","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","17","0","12","11","19","28","41","56","79","23","36","121","66","92","72","109","85","14","22","33","50","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630018021","Block Group 1, Census Tract 18.02, Durham County, North Carolina"
"401","116","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","12","22","36","56","0","12","10","17","0","12","138","90","79","73","42","48","18","29","13","21","53","76","0","12","0","12","0","12","0","12","0","12","1500000US370630018022","Block Group 2, Census Tract 18.02, Durham County, North Carolina"
"452","115","15","25","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","14","22","0","12","37","56","43","55","158","75","70","50","89","60","26","34","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630018023","Block Group 3, Census Tract 18.02, Durham County, North Carolina"
