"B25075_001E","B25075_001M","B25075_002E","B25075_002M","B25075_003E","B25075_003M","B25075_004E","B25075_004M","B25075_005E","B25075_005M","B25075_006E","B25075_006M","B25075_007E","B25075_007M","B25075_008E","B25075_008M","B25075_009E","B25075_009M","B25075_010E","B25075_010M","B25075_011E","B25075_011M","B25075_012E","B25075_012M","B25075_013E","B25075_013M","B25075_014E","B25075_014M","B25075_015E","B25075_015M","B25075_016E","B25075_016M","B25075_017E","B25075_017M","B25075_018E","B25075_018M","B25075_019E","B25075_019M","B25075_020E","B25075_020M","B25075_021E","B25075_021M","B25075_022E","B25075_022M","B25075_023E","B25075_023M","B25075_024E","B25075_024M","B25075_025E","B25075_025M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $49,999","Margin of Error!!Total!!$40,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $69,999","Margin of Error!!Total!!$60,000 to $69,999","Estimate!!Total!!$70,000 to $79,999","Margin of Error!!Total!!$70,000 to $79,999","Estimate!!Total!!$80,000 to $89,999","Margin of Error!!Total!!$80,000 to $89,999","Estimate!!Total!!$90,000 to $99,999","Margin of Error!!Total!!$90,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $174,999","Margin of Error!!Total!!$150,000 to $174,999","Estimate!!Total!!$175,000 to $199,999","Margin of Error!!Total!!$175,000 to $199,999","Estimate!!Total!!$200,000 to $249,999","Margin of Error!!Total!!$200,000 to $249,999","Estimate!!Total!!$250,000 to $299,999","Margin of Error!!Total!!$250,000 to $299,999","Estimate!!Total!!$300,000 to $399,999","Margin of Error!!Total!!$300,000 to $399,999","Estimate!!Total!!$400,000 to $499,999","Margin of Error!!Total!!$400,000 to $499,999","Estimate!!Total!!$500,000 to $749,999","Margin of Error!!Total!!$500,000 to $749,999","Estimate!!Total!!$750,000 to $999,999","Margin of Error!!Total!!$750,000 to $999,999","Estimate!!Total!!$1,000,000 or more","Margin of Error!!Total!!$1,000,000 or more","id","Geographic Area Name"
"309","72","0","12","0","12","5","10","0","12","0","12","0","12","0","12","0","12","14","16","0","12","9","13","8","13","18","21","75","48","121","46","34","30","12","17","13","21","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630001011","Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"299","81","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","15","10","16","22","24","26","28","38","31","29","22","65","43","68","50","0","12","0","12","7","11","0","12","18","24","7","11","0","12","0","12","0","12","1500000US370630001012","Block Group 2, Census Tract 1.01, Durham County, North Carolina"
"439","112","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","11","7","11","0","12","4","7","116","74","161","72","106","76","30","29","5","8","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630001021","Block Group 1, Census Tract 1.02, Durham County, North Carolina"
"363","74","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","14","0","12","5","9","6","11","72","40","86","52","95","43","20","16","27","27","39","44","0","12","0","12","0","12","0","12","0","12","1500000US370630001022","Block Group 2, Census Tract 1.02, Durham County, North Carolina"
"160","57","0","12","0","12","0","12","0","12","0","12","0","12","0","12","25","37","0","12","0","12","8","11","3","7","13","22","15","18","0","12","37","30","0","12","20","23","23","29","9","13","0","12","0","12","7","10","0","12","1500000US370630002001","Block Group 1, Census Tract 2, Durham County, North Carolina"
"177","78","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","16","9","14","0","12","0","12","0","12","21","25","7","12","51","56","23","31","26","30","15","26","15","16","0","12","0","12","0","12","0","12","1500000US370630002002","Block Group 2, Census Tract 2, Durham County, North Carolina"
"252","63","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","37","31","49","44","59","38","75","40","24","22","8","12","0","12","0","12","0","12","1500000US370630002003","Block Group 3, Census Tract 2, Durham County, North Carolina"
"157","66","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","24","28","0","12","59","48","42","39","21","25","3","8","8","13","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630003011","Block Group 1, Census Tract 3.01, Durham County, North Carolina"
"139","58","0","12","0","12","0","12","0","12","0","12","0","12","9","13","0","12","0","12","0","12","6","13","25","28","0","12","22","22","29","38","38","41","0","12","0","12","0","12","10","18","0","12","0","12","0","12","0","12","1500000US370630003012","Block Group 2, Census Tract 3.01, Durham County, North Carolina"
